Index|Label|First piece|Gold|Prediction|Mistral
41||A: But like I said if I voted for Bush, or like when, uh, Gary Hart was running, a lot of women would have voted for him just because he was nicer looking, B: Hart?  Uh-huh. A: not that I think he was good looking, but, he was young. B: Yeah.  Yeah. A: And then, I didn't think that was right, because he may have been a good president, or whatever.|that was right|HYPOTHESIS: A: And then, I didn't think that was right, because he may have been a good president, or whatever.|No (no match)
42||B: Oh, I do too. A: So anyway it's still, B: Uh-huh, uh-huh.  And, you know, if she wanted to go to combat, I do not see that they should stop her.|they should stop her|"HYPOTHESIS: B: Oh, I do too. A: So anyway it's still, B: Uh-huh, uh-huh.  And, you know, if she wanted to go to combat, I do not see that they should stop her.
            ANSWER: B: Oh, I do too. A: So anyway it's still, B: Uh-huh, uh-huh."|No (no match)
43||The women were much easier to supervise and hold. So he refused to accept Dule in exchange. Kit ordered Ariel brought so that the islanders could see she was as well as could be expected and recovering from the wound to her thigh.|Ariel was as well as could be expected|"HYPOTHESIS: The women were much easier to supervise and hold. So he refused to accept Dule in exchange. Kit ordered Ariel brought so that the islanders could see she was as well as could be expected and recovering from the wound to her thigh.
            ANSWER: The women were much easier to supervise and hold. So he refused to accept Dule in exchange. Kit ordered Ariel brought so that the islanders could see she was as well"|No (not a match)
44||A: Good morning. Um, I mean, if I start this I just wanted to say that, um, one of the things that I don't think we really understood about the middle eastern situation is that they're a totally different type of people than we are, and I mean they think differently and their idea of what is justice is totally different from ours. and right now, I think that that's been proven in the fact that, um, they have just, well, anyway, I just think that, you know, the United States policy over there, I think we should just leave them alone. I really do. in a major way because um, that whole region over there, I think needs to settle its own differences within itself. B: Yeah. A: And that's the course that they should go, I mean, you know, we can maybe help them a little bit, prompt them, but I don't think this intervention at such high levels should be going on.|this intervention at such high levels should be going on|HYPOTHESIS: A: I think that, you know, the United States policy over there, I think we should just leave them alone. I really do. in a major way because um, that whole region over there, I think needs to settle its own differences within itself.|No (not a near-exact match)
45||Talks between the two sides could unravel, of course, as they have more than once since Sony announced its plans to hire Mr. Guber and Mr. Peters.  But both sides appear to be more willing now to meet each other's terms to resolve the issue. And although Warner has said it wanted the producers to fulfill the terms of their contract, the producers said in sworn court declarations that they didn't believe the relationship could be repaired after the acrimony of the legal battle.|the relationship could be repaired after the acrimony of the legal battle|HYPOTHESIS: The producers said in sworn court declarations that they didn't believe the relationship could be repaired after the acrimony of the legal battle.|No (not a near-exact match)
46||A: That most of it is plea bargained, uh, half way through or most of the cases are plea bargained anyway. B: Right. A: But, uh, uh, how do you feel uh, about the jury system itself? do you think that should be changed?|the jury system should be changed|"HYPOTHESIS: B: I think the jury system is fine. I think it's a good system.
            ANSWER: B: I think the jury system is fine. I think it's a good system.

            LABEL: -1 
            PREMISE: A: I think the jury system is fine. I think it's a good system. B: I think the jury system is fine. I think it's"|No (no match)
47||B: That was surprising to me. A: Um. B: I missed that question, totally, I mean really bad. I'm trying to think, I didn't miss too many, I can't remember what my score was, but I did exceeding well. I was surprised. But I didn't realize that our garbage isn't being decomposed.|their garbage isn't being decomposed|"HYPOTHESIS: B: I missed that question, totally, I mean really bad. A: Um. B: I missed that question, totally, I mean really bad. I'm trying to think, I didn't miss too many, I can't remember what my score was, but I did exceeding well. I was surprised. But I didn't realize that our garbage isn't being decomposed.
            Answer: B: I missed"|"No (not a match) 
---

Please provide the reference text and the candidate text you would like me to check for an exact or near-exact"
48||B: although in my case I might have been more, uh, sympathetic with the person who got caught, I don't know. A: Uh-huh.  So, uh, were the, uh, sentences that the judge handed out what you thought to be fair, or would, if you were deciding, do you think that they would have been different.|the sentences would have been different|"HYPOTHESIS: B: I think that they would have been different. A: I think that they would have been different.
            ANSWER: B: I think that they would have been different. A: I think that they would have been different.


            LABEL: 1 
            PREMISE: B: I think that they would have been different. A: I think that they would have been different.
            HYPOT"|No (not a match)
49||B: But I like dogs and my husband likes cats. So we haven't reached a real agreement on that yet. If we get a place where we can have both, it'll be great, but until then, A: Yeah, I like both, but since I'm in an apartment, I don't think an apartment is big enough for a dog.|an apartment is big enough for a dog|"HYPOTHESIS: A: Yeah, I like both, but since I'm in an apartment, I don't think an apartment is big enough for a dog.
        """"""
        return self.generate_answer(self.generate_hypothesis(self.generate_premise(self.generate_label(self.generate_label(self.generate_label(self.generate_label(self.generate_label(self."|"No (near-exact match)
---
Example 6:

REFERENCE TEXT:
The new policy will be implemented next month.

CANDIDATE TEXT:"
50||That was then, and then's gone. It's now now. I don't mean I 've done a sudden transformation.|she has done a sudden transformation|"HYPOTHESIS: That was then, and then's gone. It's now now. I don't mean I 've done a sudden transformation.
            ANSWER: That was then, and then's gone. It's now now. I don't mean I 've done a sudden transformation.
            ANSWER_LABEL: 1"|"1
--- 

Please provide the reference text and the candidate text you would like me to evaluate.

---

REFERENCE TEXT:
The new policy will be implemented"
51||B: That's it. A: And that's not one of those things that you can turn the wheel back and reverse everything. B: Uh-huh. Well, right now our laws are so liberal that, uh, even with the death penalty in effect, I do n't think that, uh, they're going to use it, uh, too frequently, uh, unfortunately.|they're going to use it too frequently|"HYPOTHESIS: A: And that's not one of those things that you can turn the wheel back and reverse everything. B: Uh-huh. Well, right now our laws are so liberal that, uh, even with the death penalty in effect, I do n't think that, uh, they're going to use it, uh, too frequently, uh, unfortunately.
            ANSWER: A: And that'"|Please provide the reference text and the candidate text you would like me to evaluate. I will respond with 'Yes' or 'No'.
52||A: Oh, you mean, uh, learning type, uh, yeah? I mean actual experiments they would have to get your permission. B: Yes. A: But, yeah, I suppose, uh, if there is a psychology department or an education department around, you might find that they're pushing one form of education or another,|the psychology department is pushing one form of education or another|"HYPOTHESIS: A: Oh, you mean, uh, learning type, uh, yeah? I mean actual experiments they would have to get your permission. B: Yes. A: But, yeah, I suppose, uh, if there is a psychology department or an education department around, you might find that they're pushing one form of education or another,
            SOLUTION: A: Oh, you mean, uh, learning type,"|No (not a near-exact match)
53||B: So the original question, do we think they're you know, a security threat? A: Yeah. B: Um, yes and no. A: Yeah, I can go with that answer too. The only yes I could go to is if uh, a renegade crew decides to launch an attack or an accidental launching or something to that effect to a nuclear exchange, but I don't even see that occurring. Uh, because their internal strifes are more important right now than concentrating on any kind of outside affairs that they used to be adapted to I guess. B: Um, no.  Well, I don't really feel that the Soviets really want to blow up the world.|the Soviets really want to blow up the world|"HYPOTHESIS: -1 
            PREMISE: B: So the original question, do we think they're you know, a security threat? A: Yeah. B: Um, yes and no. A: Yeah, I can go with that answer too. The only yes I could go to is if uh, a renegade crew decides to launch an attack or an accidental launching or something to that effect to a nuclear exchange, but I don"|No (no match)
54||A: Now the best, the supporting actor, he was good, but from what I heard, the guy who got it was better, so you know, I can see that. B: Yeah. A: But, oh, B: You think my daughter would like it?|her daughter would like it|HYPOTHESIS: A: Yeah. B: You think my daughter would like it?|No (no match)
55||Why should I think that? It's your first time on a horse, for Pete's sake. And please don't imagine that I haven't landed on my backside before today.|he hasn't landed on his backside before today|"HYPOTHESIS: I'm not sure that's a good idea.
            
            LABEL: -1 
            PREMISE: I'm not sure that's a good idea.
            HYPOTHESIS: I'm not sure that's a good idea.
            
            LABEL: -1 
            PREMISE: I'm not sure that's a good idea.
            HYP"|No (not a match)
56||After the discarded mural was found outside the school by a concerned Stamford graduate, it eventually was turned over to Hiram Hoelzer, a professional art restorer. Throughout the 1970s, Stamford school and city officials made no effort to locate the mural. Apparently the officials didn't even know the mural was missing until 1980, when a researcher found that the painting was in Mr. Hoelzer's studio and questioned school officials about it.|the mural was missing|"HYPOTHESIS: The mural was found in the 1970s by a concerned Stamford graduate.
            ANSWER: The mural was found in the 1970s by a concerned Stamford graduate."|"No (not a match) 
--- 

Note: The candidate text is not a match because it does not contain the original reference text. The candidate"
57||Did you know that? Pluto... the God of Hades. Did you know that the planet Saturn is associated with lead?|the planet Saturn is associated with lead|"HYPOTHESIS: Did you know that the planet Saturn is associated with lead?
            ANSWER: Did you know that the planet Saturn is associated with lead?
            ANSWER_TYPE: HYPOTHESIS
            ANSWER_START: 19
            ANSWER_END: 23
            ANSWER_TEXT: Did you know that the planet Saturn is associated with lead?
            AN"|No (not a match)
58||``I know the one. Yes, it was good though I say it myself.'' But that doesn't mean I have to be involved in this kind of nauseous business.|she has to be involved in this kind of nauseous business|"HYPOTHESIS: ``I know the one. Yes, it was good though I say it myself.'' But that doesn't mean I have to be involved in this kind of nauseous business.
            Answer: ``I know the one. Yes, it was good though I say it myself.'' But that doesn't mean I have to be involved in this kind of nauseous business."|No (no match)
59||A: Yes, yes it is. Down in the more southern and western areas. And, of course we are, um, about two hours from the northern border, straight south, B: Yeah. A: and, uh, very windy. It's amazing to me because I have only lived in Dallas for three years, and I can not believe that the wind blows all the time.|the wind blows all the time|"HYPOTHESIS: A: Yes, yes it is. Down in the more southern and western areas. And, of course we are, um, about two hours from the northern border, straight south, B: Yeah. A: and, uh, very windy. It's amazing to me because I have only lived in Dallas for three years, and I can not believe that the wind blows all the time.
            ANSWER: A: Yes, yes"|"Yes
--- 

Note: The task is to determine if the candidate text is an exact or near-exact match of the reference text. The correct"
60||B: I can understand that very easily. I've had a class on, um, R Base and also in Paradox A: Uh-huh. B: and both of those seem very easy to use compared to D Base. A: Uh-huh. Do you think D Base is more flexible or allows you to do more.|D Base is more flexible|HYPOTHESIS: A: Do you think D Base is more flexible or allows you to do more.|No (no match)
61||Alone in the big drawing-room where Annette's choice of bright fabrics had fought hardest, albeit still without winning against her dead in-laws ' passion for darkpanelled gloom Maxim went straight to the telephone. It was the same old-fashioned type as Miss Tuckey's and he unscrewed the mouthpiece carefully but found nothing extra inside. Looking around he remembered it was difficult to plant bugs actually inside panelling but even his half-trained eye could see that the elaborate cornices and mouldings gave a myriad opportunities to a good wire man.|the elaborate cornices and mouldings gave a myriad opportunities to a good wire man|"HYPOTHESIS: -1 
            Answer: -1"|"No (not a match) 
---

Please provide the reference text and the candidate text you would like me to evaluate. I'll be happy to assist"
