uID,Context
BNC-107,Harvey thinks very highly of you and you 'll be a great comfort to him. Terrible way for young Judd to die.
BNC-1070,"He opened the door and smiled because a good-looking woman was arriving to keep a date. Sophie sat down at Pascoe's table and said, ``I thought I 'd find you here.''"
BNC-1071,"But, of course, that just wasn't possible. Her disappointment over Jonathan, which had driven her to France in the first place, had been relegated somewhere to the back of her mind."
BNC-1074,Like now. The Community in Knockglen would defend Eve vociferously.
BNC-1075,"They were all the same, all noise and sparrow shit, and if the man only knew the idiot scene he cut... ``My fire exploded.'' The fight had fled the Major."
BNC-1077,"Roman settled them at one of the small tables in a garden at the side of the yard at the Crowned Head. He summoned a girl, who seemed mesmerised by his virile look, and ordered lager for them both."
BNC-1080,"``They have to be crushed, Bobkins!'' So saying, she marched off down the gravel path, making the kind of crunching noise Robert had thought could only be produced by the BBC sound-effects department."
BNC-1082,Or Alexandra? He rather thought not.
BNC-1083,The women were much easier to supervise and hold. So he refused to accept Dule in exchange.
BNC-1086,``Do you mind if I use your phone?''
BNC-1087,"It grew bigger with incredible speed, she was whizzing towards it. She must slow down or she 'd miss it."
BNC-1089,"``Look, lady, give me a break. I just deliver the stuff, I don't interview it for the Sunday papers.''"
BNC-1091,"Alone in the big drawing-room where Annette's choice of bright fabrics had fought hardest, albeit still without winning against her dead in-laws ' passion for darkpanelled gloom Maxim went straight to the telephone. It was the same old-fashioned type as Miss Tuckey's and he unscrewed the mouthpiece carefully but found nothing extra inside."
BNC-1092,"``You 've heard something like that before. Haven't you, Jimmy?''"
BNC-1093,The other set being in the pocket of Giovanna's overall from which she now drew them and held them up making it clear that they would be relinquished only upon her death and then only into the hands of Signor Kettering. What had occurred was quite contrary to the wishes of the padrone who would be outraged if he ever got to hear of it.
BNC-1094,"He spoke Maa fluently and he had unrivalled connections. As women do, she probably knew that she had made an impression on him on the two or three occasions they had met at Muthaiga."
BNC-1095,"It was Alan's idea. He made a sour kind of joke out of it, that they must wait until their wedding night."
BNC-1099,"Biddy was right. In London, I did some serious thinking."
BNC-1100,It was dark and well stormy by the time I got to the Aurora Corona Rest Home and the residents were probably battened down for the night. I parked Armstrong on the road and walked down the short drive to the impressive Gothic porch around the front door.
BNC-1101,"And if anyone had noticed, maybe I could have just tossed the whole matter off in a casual way. ``Oh, that... it's nothing much...'' No, it's too easy to forget that something which I hardly ever think about now was then a very great concern."
BNC-1102,"During that pause I realized that Mala had not been offered a seat, nor any food or drink. The Emissary and his people were behaving as if she simply wasn't there."
BNC-1106,``I think he ought to know about this.'' The ex-soldier said and started to rise.
BNC-1111,"She was pouring a cup of tea when the solution came to her. As a member of the editorial collective of Fem Sap, it was part of her job to commission occasional articles."
BNC-1114,"We saw him at the Test matches, congratulating Gooch. But we never really believed that John Major was a sports fan until we saw him on that bleak Sunday afternoon at Stamford Bridge."
BNC-1116,"Emily - she seemed to be her own mistress, despite the grand connections - would surely not refuse an honest offer. Yet he was not, at present, in a position to make one."
BNC-1121,"He came up with them to Four on the first floor, Tom's room. This irritated Alice."
BNC-1122,"She had had very little to do with Bunny, but on their occasional meetings the girl had grown more civil of late."
BNC-1123,It seems the fellow carried out his task well enough - there are two corpses in the burial chest this morning. But who could say for certain?
BNC-1124,"Manville had pruned Hayman's original shortlist of five to just two names, and added a third of his own choosing from the original dossier."
BNC-1127,"He would come when he would come, and the Tabula Rasa would have to bide its time, though the longer he was away the more the likelihood grew of one of their number voicing the suspicion some of them surely nurtured. That Godolphin's dealings in talismans and wantons were only the tip of the iceberg."
BNC-1129,And why bother to write anyway? What was there to say?
BNC-1130,"He was engaging in a war of nerves with her, Isabel realised at last, but he didn't remember. She stared back at him, unable to speak, terrified of betraying the slightest clue that might jolt his memory, but conscious of a heartfelt sense of gratitude for the fever that had kept her so busy during the morning hours."
BNC-1131,"She was not constructed to be attractive. Roland half wished that she was, that a merchant banker would take her out to dinner, or a shady solicitor to the Playboy Club."
BNC-1132,Ginny could only suppose that Ralph thought he was protecting her from a possible nuisance. Perhaps he thought British Council employees who received personal calls at work were instantly dismissed.
BNC-1133,Still missing. Found dead.
BNC-1134,"Trazior did overlook such a desert, as southerly sentinel of the Palatine cluster. However, Trazior also formed part of a mega-complex of hives densely crowding a poisoned terrain, interlinked by transport tubes supported on pylons or suspended from cables."
BNC-1135,"``One of the old school,'' Ramsbum kept intoning. ``God knows what'll happen to us now.''"
BNC-1136,"``If I tread too presumptuously into sacred places, reprove me,'' entreated the earl, with the submissive sweetness of a brand-new novice. Precious little chance of that happening, thought Hugh, listening and observing with a pleasure that recalled to mind some of his earliest and most tentative exchanges with Brother Cadfael, dealing trick for trick and dart for dart, and feeling their way over small battlefields to a lasting friendship."
BNC-1137,"It sounded plausible, but the words were a little too pat for Lorton's liking. The solution was so convenient - and for someone in Tolby's position so tactful too."
BNC-1141,"``Otherwise I shall faint.'' Though the window on the stairwell was left on the latch there was always a peculiar smell in the room, a mixture of coke fumes from the hot-water pipes, peppermints and that pervasive mist of eau de Cologne sprayed so recklessly by Dawn Allenby."
BNC-1142,"``And you're not having this dress,'' Nora said, bending down to look at the price tag. ``It's two and a half guineas!''"
BNC-1144,"``That's no problem,'' he grinned, unabashed. ``We have a perfectly efficient paging system, isn't that right, Niall?''"
BNC-1145,She said good morning to Alice and Alice said hallo. She was thin and rather tall with a very lined gentle face and hair that was white but which Alice could see had once been blonde.
BNC-1146,"David had obviously always known and Julia had learned that, whatever feelings were churning around inside his mother's mind, it was vital for her that they remained private. David was holding the strings in a pattern Julia had never seen before."
BNC-1147,"She might have sat all afternoon, nibbling and stuporous, exhausted but not sleepy. But the glazier finally came down from the upper floor, cheerfully announcing that all was now right and tight and he would be on his way."
BNC-1148,"I'm such a coward, I hear things that aren't there. She set her lips and dragged Adam out of the fire, hooking one of his arms round her neck."
BNC-1150,"Jim waited. He waited a long time, and when the young doctor finally came out, it was almost dark."
BNC-1154,"The Colonel could tell that the noise was distracting Amanda from her pamphlet, though she gave no outward sign. It was simply that he could judge such things after living so closely with her for however many years."
BNC-1158,"Nick rolled his eyes upwards. ``Not so bad, then.''"
BNC-1159,Louise was equally anxious to see this man who had had the power to persuade her niece to go against her upbringing and character and behave so recklessly after such a brief acquaintance. Waiting in the airport she was suddenly aware of Nora striding towards her.
BNC-116,"After all, they had been together for a couple of years and she did idolise him. A line cut between Ashley's brows."
BNC-1160,``Yes?'' ``Nathan?''
BNC-1163,Chopra stood unsteadily on his feet. The shapechanger bounded around with excitement.
BNC-1164,"It seemed impossible that anyone could endure such pain for so long, but at last the doors of the Renault slammed and there was comparative silence. The engine was started up, revving violently as the car was turned round on the narrow road."
BNC-1166,"Zenaida the sorceress jumped on her from behind, one hand at her throat, the other yanking at her hair."
BNC-1169,"I didn't say anything, but kept on eating slowly."
BNC-1173,"Just when you think you 've got it straight, along comes the Fool with his pig's bladder and whops you on the nose. By the way, I'm no idiot."
BNC-1180,"Dam the leaks? If I do that, the Company doesn't have to know I've been interfacing data when I shouldn't."
BNC-1185,"Except that his face, with those tobacco-stained looking eyes and drooping moustache, was always the same and you never knew what he was thinking. When he looked at you it was like he knew something he wasn't telling, or was laughing at you, no matter what it was he said."
BNC-1187,"I worried about the mythic trees you used to paint. Outside, some kids, browned off with the phone-booth, had snapped a sapling rowan in half."
BNC-119,"It's true - Peter can be infuriating, she registered. And, to someone with Marc's undoubted ambition and sheer grit, he probably seems hopelessly in need of a helping hand."
BNC-1194,"And if he knew why did he tell her and annoy her still further? If he did have designs on her, and a plan to marry Mr Eddie Hogan's daughter and thereby marry into the business, then why was he saying all the things that would irritate and upset her?"
BNC-120,"We must be well past Malmesbury by this time, Isabel thought. But the fortress there was an outpost, virtually surrounded by enemy castles."
BNC-1200,"Mrs Menzies had died five years before, killed by malaria and stomach trouble from their time in Bengal. Menzies himself had a yellow face with a stained-looking flush on each cheekbone, and when he felt a bout of fever coming on, he drank to drown the symptoms."
BNC-1201,"Right then Shannon would gladly have given her entire make-up kit for a rest, but there was no way she was about to admit any weakness to him, particularly after that crack about her ``poor over-used mouth''. So he thought she talked too much, did he?"
BNC-1205,"Still doubtful, the embalmer beckoned his assistants away from their other tasks."
BNC-1208,"It is obvious, is it not, that if one gets emotionally involved in a problem, one can not perform as well as when one is viewing it impersonally, yes?'' ``Yes,'' Fabia agreed, but what was more than obvious to her, with Ven stressing, ``specifically'' stressing, that Lubor talk to her on an impersonal basis only, was that he still didn't trust her not to ask personal questions about him."
BNC-1211,She gazed at him through her thick lashes.
BNC-1213,It was ridiculously easy to get away and her own skill brought a grin to her face. The great Felipe had not even been around and the servants had ignored the fact that the inglesa was calmly walking towards the great gates.
BNC-1217,"For a moment Leith wondered who the dickens he thought she had with her, then she remembered Naylor had been with her last night when Travis had called."
BNC-122,"And how deeply she wished she could feel the confidence impressed upon her voice as she added with forced lightness, ``Apart from any other consideration, I still have a wet dog to find.'' Unconvinced, shaking her grey curls under the mob-cap, Mrs Tillotson did as she was bidden."
BNC-1221,But this was different. Mother Clare's idea of covering obligations centred around the kitchen.
BNC-1223,"His head sank so low that his collar dented his bottom lip, and Sarah had touched his arm in sympathy, earning an even stronger rebuke herself. Nahum was becoming a feverishly energetic lover."
BNC-1224,"However did people manage to discipline themselves and stick to a single line for long enough to gain control, to come out on top, to become the boss instead of the employee? At Liz's party, last night, there had been bosses."
BNC-1228,"Harrison knew many of the wrestlers and the rest of the morning passed pleasantly enough as he moved around the quacks and the pedlars, tinkers and gypsies and show people who were an enjoyable contrast to the farmers ' wives selling their freshly imprinted butter, with their buckets of eggs, the vegetables and poultry, rabbits, game pies, potted char, rum butter. A few of the men had taken a rare day off from the quarries and the recognitions were more generous than Harrison had anticipated."
BNC-1229,"His reaction on seeing them was a surprise to himself, and a shock to them. He soared higher to lure them up and then folding his wings back stooped down towards them, gaining speed with each second and transfixing the weakest-looking one with his stare."
BNC-1236,Those people... Not a one of them realized I was not human. They looked at me and they pretend I'm someone called Franz Kafka.
BNC-1240,How Robert (at Marlborough) patronizes him now. He never talked to me about them.
BNC-1242,"He had been almost tempted to buy some from her at a discount until he remembered her prices. Highgate Cemetery was more or less on his way to the theatre, and although it was almost all old graves without flowers, he had seen some being left regularly by some nutty Communist at the grave of Karl Marx."
BNC-1246,"Even Pedro, pattering nervily about the room, seemed more restless than usual, and when he slept his dreams were troubled. Gradually Louisa began to wonder whether her father had been right after all, whether she had been as unwise as he claimed to shut herself away in this sequestered place."
BNC-1252,"He's weird enough to have undressed me without thinking, according to some mad notion of the ``proper'' thing to do."
BNC-1253,It was mainly to make a good impression on the new tribe. Little Krishna ran off into the jungle.
BNC-1254,"Isabel watched him vanish beneath the barbican and felt as though she had been abandoned to face the enemy without weapons or protection. The shield of cold indifference, the sword of anger, had both been snatched from her by Ralf's warning."
BNC-1256,"Lewis, sensibly, had allowed himself a lot of time. Adam would be very surprised to see him."
BNC-1257,"``I 'd have done it long ago. Now, give me some beer, and don't poison it.''"
BNC-1259,"I felt I had to make him happy after all the sad things which had happened to him, so I told him his English was very good. It was just average really."
BNC-1264,"But I still wasn't sure why. Perhaps it was Nassim's mention of the baby that sparked me off, however subconsciously."
BNC-1273,Then I knew what had happened. He didn't have to tell me the rest.
BNC-1277,"Then a man at the back of the hall began to clap, and someone else joined in. Soon the clapping became fierce applause."
BNC-128,``But it could have been a big jet. Maybe hundreds of passengers.''
BNC-1283,"The guy with her I 'd never seen before. He was shortish and wiry, had a straight thin moustache and I guessed he was anywhere between 40 and 45."
BNC-1285,"No, my dear, you are just as tired as I am, and I shall rest presently in the dressing-room where I have made up a bed for myself. If I leave the door open I shall be able to hear him if his condition worsens."
BNC-1291,The name Northcliffe was linked with raising equity on all five continents but not in such a conspicuous way that he himself garnered personal publicity. I never saw a photograph of him published.
BNC-1292,"The shadow was in the form of a vast spaceship resting near ours, and the last thing it looked was shadowy. The surface was gleaming with pure white and even purer gold."
BNC-1294,I looked at the mouth of the mother of the girl whose mouth I couldn't get enough of kissing. I looked and I looked.
BNC-1295,"That is to say, I did not take sufficient account of the fact that at that time of the day, what Mr Farraday enjoys is a conversation of a lighthearted, humorous sort. Knowing this to be his likely mood when I brought in the tea yesterday afternoon, and being aware of his general propensity to talk with me in a bantering tone at such moments, it would certainly have been wiser not to have mentioned Miss Kenton at all."
BNC-1297,But don't dilly-dally for too long. Once it's published we are all going to look a little risible if we have made no adjustments to what is after all known as being predominantly my own design of gallery.
BNC-1305,I asked him in for a break. I liked that about him.
BNC-1309,"Dorothea had once tried to tell her this, but Alida Thorne had flushed with anger. ``Stop patronising me,'' she had shouted, ``stop pitying me!''"
BNC-1315,"``The motor was running earlier, smooth as honey.'' Lissa accepted the comfort of his assurances."
BNC-1317,``The white man has blood. That is true.''
BNC-1322,Some of them will use their votes judiciously in order to bring about whichever outcome it is they seek. The defeat of the John Major government.
BNC-1323,"He's got a bee in his bonnet about keeping them out of remand homes and prison. I'm not against that, but you can't leave young thugs loose to go round terrorising honest folk."
BNC-1324,"Alice asked after her daughter, Mungo's mother, and complained about the price of bread. She spoke of the pain in her hands, neighbours who had passed on, and twice asked Mungo what school he was going to now."
BNC-1335,"I should dearly have liked to know whether they were Europeans or Americans, but I couldn't hear the accents. They appeared to be arguing."
BNC-1348,"But the damage was done as far as my faith was concerned, which is probably why I went mad. So anyway, that Christmas Eve night confirmed my worst fears, it was like a kind of ``royal flush'' for the infant Jimbo."
BNC-1351,"The answer is no, no no. Not now, not ever."
BNC-1360,"I can't take it. They keep questioning me, always asking where I was what I did why I did it, did all of them where I was who I was with who am I trying to kid why don't I just admit I did it well if I didn't do all these things, who did?"
BNC-1367,"He had seen something I should have, which was a car turning in from Soho Square and coming up behind me. My right foot hovered over the accelerator pedal and I balanced Armstrong on the clutch."
BNC-1373,``Knock once and enter.'' Julia could think of no appropriate reply.
BNC-1374,``What had you in mind to pursue him for?'' ``What you should want to pursue him for might be different from what I would pursue him for.''
BNC-1375,Fenna had become too powerful. Maggie did not want to be a crazy person.
BNC-1376,Jed wondered. He 'd scarcely set eyes on him since the night they 'd had dinner together at the house in Westwood.
BNC-1380,"I saw the American woman kiss his hand. So she was an RC, too."
BNC-1388,"I have realised all this Quincx. I wouldn't want to embarrass you, but I really can see no alternative at present."
BNC-139,She produced another scroll. ``I have here a petition and I want you all to sign it to show those men in power that the women and children of this country think that slavery is wicked and wrong!''
BNC-1399,"Why should a boat be less social than a caravan, for heaven's sake? He 'd never seen Janet drinking out of a can before, either."
BNC-140,Not rhyming is easier than rhyming. I don't mean art should be as clear as the instructions on a packet of seeds.
BNC-1401,"Then he grilled the result on a flat stone beside the fire. Thus provisioned, he invited Louise to come to the banqueting hall to celebrate her birthday, though in a very quiet way, he assured her."
BNC-1404,"It was an extraordinary sensation, floating here in the inky darkness, with moonbeams dancing off the top of the small waves, and the twinkling stars above shining through the moth-eaten blanket of the night sky. It was as if she was all alone - a tiny speck on the ocean, surrounded by a galaxy that seemed to stretch out into infinity."
BNC-1408,"Yet what good came from knowing that a woman had killed herself? The children who had suffered a trauma would survive the experience, scarred by it and a little flawed by it."
BNC-141,"Nora calculated that there must be lots of single men up there so she decided it was ideal for the ``manhunt'', as we called it, even though the train fare was a serious consideration. I remember we went up to Euston together one Saturday morning, very excited, to buy the ticket in advance."
BNC-1411,``I 've already got money that I 've saved from Grye's winnings.'' Seb did not amplify his statement.
BNC-1412,"They were baroque symbols reinforcing the lush imagination of the theatre. But the drama on its own wasn't enough, or great performances, or symbols."
BNC-1430,"Melanie, after a while, began to notch off the weeks in her mind by the appearance of the green-banded china, ``Here comes another Sunday.'' And on Monday mornings, she would look at the little bridge on her willow pattern plate and wish she could run across it away from her Uncle Philip's house to where the flowering trees were."
BNC-1431,"His mother driving the car, so happy, young-looking and fashionably dressed and his father, a big, confident man in a smart suit, smiling and turning round to say something to Simon in the back seat. Marie thought of her own mother with her frumpy clothes and ageing, lined face."
BNC-1434,"She felt quite shaky. It had happened before, last night and yesterday morning."
BNC-1438,"They stood in silence, while the sun dipped in the west. And Ruth felt she hadn't understood till now what it meant, to be Jake's daughter."
BNC-1443,She was still trying to cope with the matter when Oliver said they ought to leave if they were to meet him as planned. On the way they stopped for Rain to buy a silk scarf which complemented her blouse.
BNC-1449,"I want to look dark and menacing. The way I ought to look, the way I should look, the way I might have looked if I hadn't had my little accident."
BNC-1450,The English read: It is forbidden to cross the Toacks. That summer I came to know the Toacks - with their roots hooked under the earth's crust.
BNC-1453,The kind of questions Benny never thought to ask but was always interested in the answers. She had never known that her parents met at a tennis party in a county far away.
BNC-1458,``I hope you are settling down and the cat is well.'' This was a lie.
BNC-1463,"She wanted to run her fingers through his hair, wanted to nuzzle her nose and chin into his neck, wanted to know the texture of his cheek and jaw, wanted to kiss him so that her lips never forgot the shape of his. Then she found she was doing all this already, and a sigh of utter contentment shivered through her."
BNC-1464,"Why should I think that? It's your first time on a horse, for Pete's sake."
BNC-1466,"``You will see the house, child. You will see where he lived and worked and then we will discuss the future,'' Marguerite said with a finality that left Jenna astonished."
BNC-1467,Jane ate without pausing. Hunger was an unknown experience.
BNC-1468,"``Don't think I'm going to pluck it and cook it,'' said Betty. ``If you're going to eat it you 'll have to do it all yourself.''"
BNC-1472,"``You speak calmly, but I know you're suffering.'' ``You are original,'' he said, looking surprised."
BNC-1473,"Juliet drew in her breath as she gazed at it. She had always imagined Nigel's home to be large, but this was immense!"
BNC-1474,"Miss Martindale had had a school, but her rigid ideas and stern manner had frightened the children, and their parents had taken them away. And gradually the school declined, until she had to give it up and retire to end her days in the white cottage with the inevitable cat as her only companion."
BNC-1475,"Had Nigel noticed she 'd left, or hadn't he missed her at all? If he had been aware that she 'd gone, he would probably have assumed that someone else had taken her home."
BNC-149,``You don't need to worry. We're quite adequately chaperoned. Rosa is a woman of strict moral principles.''
BNC-1498,"``He's harmless, quite afraid of me.'' It brought a very visible relaxing of attitudes that quite surprised Maggie."
BNC-1499,"For Syl I felt no sympathy, since if he was fool enough to want me he deserved none. In the course of time I would die and then it would all be over."
BNC-15,"He hadn't recognised the ageing, twisted features of Pat Weaver, as the man on the bike had cycled lazily past. Nor had the CI5 man who was trailing Stone... Minutes before, as Stone had slipped surreptitiously from his house, his furtive movement had been picked up by Dan Monteith, stationed at the front of the house, concealed in a neighbouring garden."
BNC-1500,She hated to think of his sister lying in hospital waiting for her husband to come to her while all the time he was with Dana. She gripped her hands tightly together.
BNC-1502,I said you were mad to come over at this time. It's a world event.
BNC-1507,"And what she had said, and went on saying quietly, calmly, efficiently, was that she loved Maggie. She paid attention."
BNC-1508,"They pretended that what was happening was not happening, and if it were to happen, it would certainly never happen to the likes of them. ``It is wise to bear in mind how vastly superior is the individual over all the political institutions and social mechanisms which oppress him!''"
BNC-1512,"Tess used to rest her head on the cow's body, her eyes fixed on a distant field. The sun shone on the beautiful lines of her face."
BNC-1519,"He swam away and Adam swam away and very soon after that they came out of the lake and went back to Mary on the terrace. A disturbing experience it had been, exciting and confusing."
BNC-1524,Only Mr Jemps accepted. Red lit one for himself.
BNC-1526,"But in the end I saw that Frejji was right - that Mala and I could probably stay unrecognized in the midst of a typical Uulaan carnival. And there were a couple of other things, I told myself reassuringly, that to tip the balance back a little towards our side."
BNC-1528,"She thought that he 'd not started to drink, but might at any moment. ``Tea's better for you than that stuff,'' she said pertly, as pert as the chit Angela Macleod had called her."
BNC-1529,"He turned his horse time and again, and went ploughing through the thickest of the struggle with bared sword, exchanging strokes with any who cared to stand and debate with him. Time did not exist for him now, as long as any challenged him."
BNC-1530,"Her heart leaped into her mouth, and she paused. It was one thing imagining the scene from the comfort of her London flat but quite another to find herself going through with it."
BNC-1533,Fernando's escaladun had been wonderful last night and not direct from the freezer. All his own work.
BNC-1534,"The nurses were well trained in dealing with rich patients who were used to doing as they pleased and often disliked accepting the discipline of routine. They knew that the very old, the alcoholics, and the more than slightly batty patients (called ``eccentric'') had to be carefully supervised."
BNC-1535,"Ruth looked down, utterly unable to meet his eyes. Yet it was unjust, this anger."
BNC-1538,"There were three women before her, none of whom was dressed in black. So much detail was not available to her then but she would have agreed to it all and later she would be able to describe more of the room, the contents of the cabinets, even the names of the people represented in the photographs on top of the piano."
BNC-1541,We start by assuming that the telephone call to Mrs. Bidwell and Lorrimer's death are connected. That means the call was made by the murderer or an accomplice.
BNC-1545,"They 'd seen Miss Lavant on the promenade and about the town, always walking slowly, sometimes with a neat wicker basket. Kate had often thought she was beautiful."
BNC-1548,"Kate sipped her drink. ``If the Chief Constable knew that I was seeing Patrick, all hell would break loose.''"
BNC-1553,Did he intend everyone in the castle to know he did not want the wife he had married in such a hurry? Did he intend to ignore her completely?
BNC-1554,"Eve hadn't known that Mr Burns in the hardware shop was inclined to take to the drink or that Dr Johnson had a very bad temper and was heard shouting about God never putting a mouth into the world that he didn't feed. Dr Johnson was of the view that there were a lot of mouths, especially in the families with thirteen children, that God had forgotten to feed."
BNC-1558,"But then he asks himself if people would have enjoyed the story any more had it been true, and if they would have achieved any greater insight into themselves and their destinies. Of course not."
BNC-1559,What on earth did I think I was playing at? The people back at the hotel didn't know me.
BNC-156,"The one does not exclude the other. Surely Ben would understand that, if Lou explained it properly?"
BNC-1566,"I didn't know they were Twenty-fourthers, I just thought they were people wearing one shoe."
BNC-1599,"Nevertheless I can't do that. Melanie or not, it was still in confidence."
BNC-1601,I don't know what I envisaged happening once I 'd parted you and Peter. That I would step into the gap maybe.
BNC-1606,"And O said to me, the thing was. I couldn't remember."
BNC-1607,``What fun to hear Artemis laugh. She's such a serious child.''
BNC-1615,"He pulled up in fourth gear at the foot of the balustraded stone steps which led up to the solicitor's office. Totteridge, Spruce and Hardnut, Commissioners for Oaths, said the brass plate."
BNC-1616,"``We,'' said Lili, ``have just managed to force down sufficient amounts of fresh veg and protein to retain some shapeliness and complexion.'' I found it odd that Robert had chosen to distinguish me alone as English and wondered how he saw himself and Lili and I found it odd that Lili had chosen to lay claim to Englishness."
BNC-1620,"Most of them young, about his age, stood and talked and drank and laughed. The two girls he had noticed earlier were standing talking to some other girls."
BNC-1621,"``I know the one. Yes, it was good though I say it myself.''"
BNC-1628,"After all, it was only a season ago that we were last relegated, but the spirit within the club is such that we can bounce right back, of that I am sure. Personally, I take some comfort in knowing that I in no way contributed to our exit from Division Two."
BNC-1631,"Shannon knew she was being excluded from the conversation, though there was absolutely no evidence of that. She gave herself a mental shake."
BNC-1633,"He said that maybe I wasn't ready to join the Party just yet. Terry's passion for equality appealed to my purer mind, and his hatred of existing authority appealed to my resentments."
BNC-1635,"``A shared taste. I ought to tell you, they did talk to me about him, it can't be news to you what they are saying, that Michel has run off with your mother and that he wants to marry her.''"
BNC-1636,Until I can persuade her to unbind me - or make contact with Mephistco and convince someone back at base to forgive me my trespasses just long enough to do an override - I am confined inside the plane of reflected light. But - hoo-ha!
BNC-164,Flaubert delighted in their presence and gave them money. No doubt you wish to pat him on the head for this.
BNC-1640,"``Oh, my poor Folly... We 've been together for five years, Lexy and I - she practically holds that company together. Of course I gave her an ``A''."
BNC-1642,"And I resent what happened to my flat. A couple of guys think they can stake it out and wait for me, rub their filthy fingers on my clothes, piss in my bathroom, and I'm supposed to ignore it."
BNC-1643,"For a long time she had been unaware of anything lacking, but recently she had started feeling somehow... adrift. Ashley frowned."
BNC-1645,"That was then, and then's gone. It's now now."
BNC-1648,You know in a funny sort of way he was really rather prim. There was once some heroin floating round the college and there were two students who were the pushers that's the phrase for them I think - and they were both beaten up.
BNC-165,"But there was little chance of discovering who had killed him without help. Kelly decided that she had to talk to Annie, even if there was a risk that she would tell her husband."
BNC-1656,"``Here's three pence for you for a lolly if you 'll go.'' ``All right, then,'' agreed Peggy, her pout disappearing at once."
BNC-1659,This was the back of the shelter. It had an emergency exit which they all had a go at unbolting.
BNC-1660,"He left his own number, calling himself Alain - the name of her Malaysian-French ``business manager''. The next day Gina rang."
BNC-1661,"``Perhaps,'' said Neil. ``Her name is Maybelle Foy - Stair says that she is not very pretty, but is enormously rich.''"
BNC-1664,"Nevertheless, her heart sank at the thought of spending an evening with him in his present state of mind, and she was tempted to invent a sore throat in order to get out of it. But he had been very helpful over the Puddephat business, she admitted to herself, and his moods were unpredictable - he might be on top of the world by the time he arrived at the cinema."
