uID,Target
BNC-1101,I was aware what could happen I could see that any weakness was pounced upon by the other boys and I knew that I wasn't big enough or belligerent enough to bully my way out of it.
BNC-1102,I could see that she was scowling and stiffening into a Mark 2 temper so I gave her an encouraging smile - which raised her as I expected to a Mark 3.
BNC-1106,Braden stepped in closer and the ex-soldier looked up almost straight up and you could see then that he was afraid but trying hard not to show it.
BNC-1111,She could ring Jamie and suggest that he write something for it.
BNC-1114,True it was a televised match and some might suggest that his media advisers were earning their keep but a prime minister who endures 90 minutes of Chelsea has surely earned the benefit of the doubt.
BNC-1116,Perhaps when she had recovered from this encounter he could suggest that they become engaged albeit in an unacknowledged fashion as he could not afford a ring worthy of her.
BNC-1121,Peter might have supposed that they were lovers from Tom's ardour and her acquiescence might have thought it not just tactful but a requirement to leave them alone together.
BNC-1122,Sara could only suppose that her initial suspicion had been stilled and that she accepted her Sara as part of the permanent scenery around the place.
BNC-1123,Will Slaughter has gone and one might suppose another has gone with him.
BNC-1124,The name meant virtually nothing to him and a casual observer might easily have suspected that Manville had picked it out completely at random.
BNC-1127,Perhaps they even suspected he took trips.
BNC-1129,Mary had some vague idea that Adam's parents might suspect he was down here and come to see him.
BNC-1130,FitzAlan might suspect that something had happened between them but he didn't know for sure.
BNC-1131,He hated himself for these demeaning fantasies and was reasonably afraid that she might suspect he nourished them.
BNC-1132,Perhaps he suspected that Peter Redburn intended to whisper obscenities in her ear.
BNC-1133,Charlotte could almost suspect the headline had already been selected the outcome already determined.
BNC-1134,Whoever looked out northward from the massive protective shell of Trazior might suspect that some giant world-spider nourished on venom had swung from hive to hive spinning ropes and depositing multi-millions of hatchlings in each domain.
BNC-1135,If Ramsbum had been a human being Amiss might have suspected that he was seriously feeling grief.
BNC-1136,The prior might possibly suspect that he was being teased for he was no fool but he would certainly not challenge or provoke a magnate of Robert Beaumont's stature.
BNC-1137,Tolby might suspect that Lorton had a hand in Newley's disappearance despite the fact that he had unwittingly provided Lorton with a partial alibi for that Sunday.
BNC-1141,Stella was afraid Babs might tell Dotty that she didn't wear a slip and that Dotty would rush out and buy her one just as she had bought her a brassiere after catching her in the wardrobe with her arms above her head about to be fitted for her Ptolemy costume.
BNC-1142,she hissed at Louise who could tell that she was genuinely appalled.
BNC-1144,Lindsey saw the dark brow come down and from his thunderous expression could tell Niall was furious.
BNC-1145,She could also have told this was Tina's mother before Mrs Darne went off down the passage that led to the Headmaster's Flat.
BNC-1146,His face seemed to show nothing except benevolent interest but Julia could tell from the way that he was carrying his head and a certain tension in his body that they were approaching a crisis point.
BNC-1147,Maggie could tell that he would have liked to stop for a chat that he felt sorry for her left on her own but she lacked either her grandmother's grace or her mother's energy so she did not offer him tea.
BNC-1148,He leaned on her not wholly unconscious but she could tell he didn't know what was happening to him.
BNC-1150,Jim could nonetheless tell by his anxious face that something was wrong.
BNC-1154,He could tell she hadn't really got her nose in the Reverend Abraham.
BNC-1158,She wished she could tell him that Mr Evans hadn't stolen the Will after all but Nick had never thought that he had so there was no point in it.
BNC-1159,She was impressed by how elegant she looked and could tell by her cousin's walk that Nora also felt that she was looking good.
BNC-116,If Vitor imagined she was going to demand an immediate showdown with the model he was wrong.
BNC-1160,He could tell it was long-distance the line was so gravelly and hollow but he didn't recognise the voice.
BNC-1163,Chopra could tell something had happened.
BNC-1164,John could tell that it was being driven back up the hill towards Putna.
BNC-1166,She screeched and the bird flapping over her head screeched with her but Carmellina could tell from the look in its pale green eye that it was her true love under a spell from the wicked enchantress and she fell to her knees and clutched the skirts of Zenaida.
BNC-1169,I could tell that my father was looking at me from the other end of the table swilling his juice round in his glass and staring at my head as I bent over my plate.
BNC-1173,I could tell Gillian and Stuart weren't thrilled to see me at the airport.
BNC-1180,I could tell the tutor I got scent of it before the system went down yesterday... Then everyone will think I'm some kind of spy anyway because it's hardly going to fit in with my cover of being a moron.
BNC-1185,That's when you could tell Henry Mendez was Mexican.
BNC-1187,They may have thought they were putting it out of its misery - a lifetime beautifying the lorry-route to the A1.
BNC-119,She almost felt sympathy for Marc if he imagined he could change what was deeply ingrained in Peter's nature.
BNC-1194,Perhaps he thought that her own wishes would hardly be considered in the matter.
BNC-120,It would be miles yet probably another day of travelling before they reached safer country and even if fitzAlan stubbornly insisted that he could travel the horse wouldn't go forever.
BNC-1200,Now he looked over at Cameron taking stock of the quizzical lift of his right eyebrow when he looked out below his black fringe the down-turn of his mouth under his long curved nose and began to recapitulate his argument with care uncomfortably aware that Angus might think he was trying not to sound drunk.
BNC-1201,He 'd see how quiet she could be - in fact the big ox might just think he was teaching a statue male-chauvinist pig that he was.
BNC-1205,He was probably thinking that in these times it was not worth taking the risk of offending anyone just in case they were agents of Horemheb and you ended up in an emerald mine on the Eastern Coast.
BNC-1208,Hurt that he could think she would do that pest of an interview through Lubor she was certain then that she didn't even like Ven Gajdusek - much less was she attracted to him!
BNC-1211,Perhaps he thought that by giving them some space Maria Luisa would get Steve out of her system.
BNC-1213,Maybe they thought she was just exploring the area within the walls.
BNC-1217,Perhaps he thought she and Naylor were so enamoured of each other that he was always there.
BNC-122,The bedroom was insufferably dark though if he insisted that the drapes should be further drawn they would open only on to a dour and leaden sky.
BNC-1221,She thought perhaps that Eve might like to serve the breakfast in the refectory and clear away and that she should also leave classes ten minutes before lunch and be back in the refectory to serve soup to the other students when they came in.
BNC-1223,Perhaps he thought powerful attacks on her might produce the result he longed for.
BNC-1224,Charles himself was an archetypal boss and if one didn't know Liz so well one might think she was one too.
BNC-1228,He suspected that they might think he had used the incident of the bad teeth and the convenience of a farming father to bolt from that tough and dirty job.
BNC-1229,Perhaps the hooded crows thought it was a game perhaps they misjudged his skill and speed.
BNC-1236,Maybe they really thought I was Franz Kafka.
BNC-1240,Perhaps he secretly thinks I belong to the same world.
BNC-1242,The woman would probably think it was kids who had stolen them.
BNC-1246,At moments when her concentration was disturbed when dusk came too soon and its shadows flittered dismally about the room almost she might think she was afraid.
BNC-1252,Perhaps he thought I couldn't lie in bed with my clothes on.
BNC-1253,Perhaps the little idiot thought I was going to shoot him as well.
BNC-1254,Instead of worrying about what fitzAlan might do to her after her last defiant outburst she could only think that he might be in danger.
BNC-1256,He would probably think something had happened to his mother and that Lewis was there as the bearer of bad news.
BNC-1257,It was said as a joke but if the man had seen the evil look on Fagin's face he might have thought the warning was a necessary one.
BNC-1259,I wonder whether he thought it was just the way the English talked or whether he thought I was peculiar... Yes I suppose you're right he probably thought I was just a harmless English eccentric!
BNC-1264,Perhaps I thought that if it was Billy's kid then somebody had to tell Lucy the bad news and if she was skipping probation it had better not be the cops.
BNC-1273,I suppose I could have thought from the little he 'd said up until then that my half-brother was dead or ill or that something had happened to him but I knew then it was something Eric had done and there was only one thing he could have done which would make my father look worried.
BNC-1277,Such was the enthusiasm that you might have thought that the Collector had just sung an aria.
BNC-128,If Andropulos knew it wasn't a jet carrying hundreds of passengers his face wasn't saying so.
BNC-1283,If you couldn't see that they were outside a Registry Office you might have thought it was a man out shopping with his daughter.
BNC-1285,To hear these ``my dears'' being so liberally dispensed you might have thought that the two girls had become bosom friends.
BNC-1291,You might have thought these further disclosures would have had a powerful effect on me but of course I was inured to surprise where this man was concerned.
BNC-1292,You might have thought that no meteor shower no space dust had ever touched that brilliance.
BNC-1294,But while I saw similarities (the forehead the set of the eyes) while I could understand that other people might take them for mother and daughter it didn't work for me.
BNC-1295,But you will perhaps understand that there was a natural tendency on my part in asking what was after all a generous favour from my employer to hint that there was a good professional motive behind my request.
BNC-1297,Also I am a bit older than the rest of you but you can perhaps understand that I don't want to drop dead without a proper and public recantation.
BNC-1305,He never assumed the kettle was on or that I was free.
BNC-1309,The incident had never been referred to again and Dorothea did not believe that Alida would remember it.
BNC-1315,She did not really believe anything untoward was going to happen this afternoon.
BNC-1317,But the white man does not believe that cattle are payment for taking someone's life.
BNC-1322,No one of course believes that the Liberal Democrats can do any more than secure a hung parliament - but there is a very real possibility that this may happen and they are therefore a force to be considered.
BNC-1323,As far as I can make out Deanes doesn't believe that young people should be expected to know the difference between right and wrong.
BNC-1324,At one stage she somehow got on to the subject of coal and said she simply did not believe it came from wood.
BNC-1335,I hoped the white men weren't telling him to eliminate all witnesses because I don't believe it would have needed much persuasion.
BNC-1348,All three kings - Pa Santa and the King of Kings - all down the pan together... And to be honest I don't believe any of them stands a chance of ever making a comeback with me.
BNC-1351,I never believed I could wish anyone dead but last night changed all that.
BNC-1360,I'm in London I'm in the nick I'm in fucking Paddington Green for Christ's sake the high-security station they use for the Provos and they think I'm so dangerous so much a security risk they've got me here and even holding me under the Prevention of Terrorism Act Jesus God because some of them still aren't convinced they aren't dealing with some unholy alliance of the IRA Welsh Nationalists and uppity jocks.
BNC-1367,I wasn't as convinced as Malpass that Nevil was out of harm's way.
BNC-1373,In fact when she came to consider she never felt that there was any reply that she could make to Miss Coldharbour whose remarks frequently had the air of concluding conversations rather than opening them.
BNC-1374,The Archdeacon didn't feel he wanted to do any pursuing.
BNC-1375,She wanted now at any price to be able to sit in the rooms of young women who could be her friends and not feel that she was travelling in territory stranger than the night caves that were Fenna's home.
BNC-1376,Nobody had mentioned him either and Jed didn't feel he should ask.
BNC-1380,No refreshment was offered not because Monsignor wished to be inhospitable but because he didn't feel it was appropriate to the place and time.
BNC-1388,I don't feel I can abandon Crevecoeur after having worked with hir all this time.
BNC-139,Sam wondered what Mr Harker would say if he knew that one of his relatives was so keen to disrupt the cotton industry.
BNC-1399,But he mustn't forget that it was a great occasion for old Willis who must be getting on for sixty-live ready to take the knock any day now.
BNC-140,I'm saying that you trust the mystifier more if you know he's deliberately choosing not to be lucid.
BNC-1401,He had not forgotten that she must still be suffering on account of her father who had only recently taken his last dive down the well in the Residency yard in the wake of so many of his former patients.
BNC-1404,Despite being caught up in an almost mystical trance Laura had not entirely forgotten that she wasn't the only person swimming in the ocean.
BNC-1408,They would never forget that for a week they had imagined the act of murder had been committed.
BNC-141,It was a secret - if my parents had known she was going away alone they would have soon put the kybosh on it.
BNC-1411,He had not forgotten that Christian disapproved of gambling.
BNC-1412,They the audience were what mattered for it should never be forgotten that it was their patronage and their applause which truly kept the theatre alive.
BNC-1430,But she did not guess this was how it would be on her first morning.
BNC-1431,No one would have guessed that she was only forty-two.
BNC-1434,She hadn't guessed then that the woman's voice was Timothy Gedge's.
BNC-1438,She 'd never guessed that one day he would turn to her like this calling her to understand all the past and set her own strength beside his.
BNC-1443,No one would have guessed she was wearing it for any other reason.
BNC-1449,Looking at me you 'd never guess I 'd killed three people.
BNC-1450,On the right side of them you'd never guess they even existed but from where I was they were too deep to fathom and too tall to cross.
BNC-1453,She had never heard that Father had been apprenticed to another business in the town of Ballylee.
BNC-1458,She did not hope the cat was well.
BNC-1463,She had never imagined that a kiss could feel like this that a man's arms could enclose and shield her so thoroughly against any other awareness that her body would respond so passionately and so completely from the roots of her hair to the backs of her knees.
BNC-1464,And please don't imagine that I haven't landed on my backside before today.
BNC-1466,She hadn't imagined that this woman could be at all assertive but she was being exactly that now and Alain had so far said nothing at all.
BNC-1467,She had never imagined it could actually hurt.
BNC-1468,Lydia had not imagined or expected that Betty would touch the pheasant.
BNC-1472,He had clearly not imagined that men and women could discuss such deep feelings together.
BNC-1473,She never imagined publishers could be as wealthy as this!
BNC-1474,Breeze had never imagined that digging was such hard work.
BNC-1475,She didn't imagine he 'd have worried about it.
BNC-149,If she knows I'm in here she's probably hovering outside the door right now.
BNC-1498,She didn't know she had it in her but she had felt the need to act.
BNC-1499,We went to the theatre and to dinner and I believe I must have talked and as I have said I know I sometimes laughed and I think no one ever knew that I was empty of everything except perhaps madness.
BNC-15,If Stone believed he had slipped quietly away to the phone box he had underestimated - or forgotten - the pursuit abilities of CI5.
BNC-1500,Dana didn't know Berenice was in danger of losing her child.
BNC-1502,Don't you know that Venice is packed with visitors?
BNC-1507,At eight Maggie had not known that her grandmother was famous but she had seen that people had something in their manner when they looked at Rachel.
BNC-1508,They did not know that liberal humanism was powerless in the face of fascism.
BNC-1512,She did not know that Clare had followed her round and sat watching her.
BNC-1519,Adam had not known he carried within his mind a directory of the forbidden.
BNC-1524,I had not seen him smoke before and did not know he did.
BNC-1526,First I knew that they were on Uulaa - but they wouldn't know I was.
BNC-1528,She did not know that Neil's anger and disgust with his old love had been fuelled more by her unpleasant reference to McAllister than anything else she had said to him.
BNC-1529,He did not even know that most of the Scottish host had already cast off everything that weighed it down and taken to flight acknowledging the truth of this meeting.
BNC-1530,It occurred to her that she didn't even know that it was Veronica's house.
BNC-1533,She hadn't known he was such a good cook... She paid her bill and wandered back to where she had parked the car in a shady spot under an orange tree in a square - She didn't know a lot about Fernando Serra she realised with a dull bumping of her heart.
BNC-1534,This old dear who was to be kept under heavy sedation clearly didn't know that she was a long-term patient being treated for depression.
BNC-1535,She hadn't known her magic would call the half-mortals - she 'd never meant it to.
BNC-1538,She did not know then that this was the first of many visits to this room.
BNC-1541,We 'll keep an open mind about the caller's sex until we get confirmation from Bidwell but it was probably a woman probably also someone who knew that old Mr. Lorrimer was expected to be in hospital yesterday and who didn't know that the appointment had been cancelled.
BNC-1545,She hadn't known she was in love with Dr Greenslade who had a wife already and three children.
BNC-1548,Kate didn't know that the Chief Constable knew all about her and Kelly.
BNC-1553,Then Isabel saw Ellen's stunned face and realised that her maid at least did not know she had spent the night alone.
BNC-1554,Benny didn't know that Peggy Pine was an old friend of Mother Francis that they had been girls years ago and that when she came to the convent she called Mother Francis Bunty.
BNC-1558,In any case they don't know it wasn't true.
BNC-1559,They didn't know I wouldn't steal money like that.
BNC-156,Ben spent so much time playing computer games barely pausing to eat that lately I 'd sometimes wondered if he knew I existed at all.
BNC-1566,I didn't know they were after Hasan.
BNC-1599,All I can say is that I didn't even know Melanie was still there that night.
BNC-1601,I was positively machiavellian - I never knew I could feel like that.
BNC-1606,I didn't even know he still had my address it all happened years before we barely even had an affair.
BNC-1607,I didn't know she had a sense of humour.
BNC-1615,He took the scuffed leather document case off the seat beside him and banged the door shut with the violence of someone who had not learned that car doors do not need the same sort of treatment as those of railway carriages.
BNC-1616,I hadn't yet learned that she was able to change her nationality as she changed her accessories to suit the occasion.
BNC-1620,Graham hoped they all realised that just because he was standing talking to Slater that didn't mean he was gay too.
BNC-1621,But that doesn't mean I have to be involved in this kind of nauseous business.
BNC-1628,When I took over the ``Whads'' were already twenty points adrift from the rest of football and while not seeing myself beyond blame entirely my denial of any involvement in our downfall does not mean my commitment is any less than 110 per cent.
BNC-1631,Marianne was simply like many other egocentric actresses she 'd met - interested more in herself than in anything else - but that didn't necessarily mean she was trying to shut Shannon out.
BNC-1633,But although I hated inequality it didn't mean I wanted to be treated like everyone else.
BNC-1635,Which doesn't mean that I am convinced I would never rely on Rosie-Posie's gossip alone.
BNC-1636,But - hoo-ha! - this does not mean I have to stay in one particular mirror.
BNC-164,If he 'd known he was gaining the approval of the future he 'd probably have kept the money to himself.
BNC-1640,But that doesn't mean I'm having an affair with her.
BNC-1642,I know what I said about possessions being like leeches but that don't mean I 'll surrender them to a pair of punks.
BNC-1643,This did not mean she was prepared to throw herself headlong into a relationship with the first half-decent male who happened by.
BNC-1645,I don't mean I 've done a sudden transformation.
BNC-1648,I don't mean they were just knocked about a bit... they were smashed stitches and a fractured jaw for one severe abdominal bruising for the other.
BNC-165,Bill would have a fit if he knew his apprentice was turning supersleuth.
BNC-1656,She did not notice that a little troubled crease appeared on her mummy's forehead.
BNC-1659,Willie was so absorbed that he didn't notice that his knees were being licked and unconsciously he rested his hand on the back of Sammy's neck.
BNC-1660,She had obviously not noticed that it was her own number.
BNC-1661,For once Dr Neil engrossed in drinking his coffee did not notice that McAllister had gone very still.
BNC-1664,``I'm still keen if you are '' she said brightly pretending she had not noticed anything was amiss.
BNC-1665,No one noticed that Bienvida her grandmother's granddaughter more than her mother's child had at some stage gone back to the Headmaster's Flat and changed into dungarees to keep her Oxfam dress of nylon organza from getting dirty.
BNC-1667,And so utterly immersed was she in this strange blue and green land that was not feeling strange any more that she did not even notice that she was weighing sorcery against steel chains and seriously considering the likely outcome.
BNC-1671,He could take her away I thought he could just do that he has such power to hurt me this little furry creature who hasn't even noticed that I 've given up the weed.
BNC-1672,She had fallen in love with it so slowly and gently and sweetly that she had never noticed it had happened.
BNC-1673,She had been so busy avoiding touching him she had not even noticed it was there.
BNC-1674,He has gone on staring out of the window thinking and she has gone on staring at him waiting with such absorption that neither of them noticed the tape had run out.
BNC-1675,But since he never even notices that Howard is himself Howard takes this with a pinch of salt.
BNC-1676,Immersed in her misery her fight for self-control she didn't notice that Water Gypsy was no longer under way.
BNC-1677,They did not notice that there was now more ebb than flow.
BNC-1680,Thankfully she hadn't even noticed that Charity had changed from the blue wrap-around skirt and was now wearing red shorts with her white silk blouse.
BNC-1681,``I like my steak burnt to a cinder on the outside and blood red and juicy at its heart...'' Absorbed by loving considerations of her tastes Mitzi did not notice that Elisabeth was not replying and her attention was drawn to her companion only when the peculiar noise of the latter's choking was sounding right round the Hall.
BNC-1682,So she did not notice that they were riding off the main road and into The Chase the oldest wood in England.
BNC-1683,And the pirates were so busy discussing the problem and what they would do with the reward if they won it that they didn't notice that they were being observed from the window above by none other than the new Mayor and his entourage.
BNC-1688,It was a measure of his upset that Karel didn't even notice he was repeating himself.
BNC-1694,Damn it all we didn't even notice Everett was missing until a porter tripped over him in the quad so anything's theoretically possible.
BNC-1697,You won't even notice I 've gone.
BNC-1699,Well he had never pretended that science and industry were good in themselves of course... they still had to be used correctly.
BNC-1707,Well I can't pretend that this doctoring business came as a total surprise.
BNC-1713,I can't prove that lay readers enjoy books more than professional critics.
BNC-1716,She knew that Bob paid her no attention but did not realise that his interest lay with Sarah Butler down at Cherry Tree Farm.
BNC-1722,She 'd been so immersed in the music letting it wash over her uplifting her that she hadn't even realised that the car had turned into a short driveway to stop outside a luxurious chalet-type building set in a clearing of beech trees.
BNC-1724,She didn't realise Hayley was so ill and could die.
BNC-1725,She hadn't realized she remembered that time.
BNC-1730,I thought it was - I didn't realise it was a girl.
BNC-1748,No one remembers he had a younger brother.
BNC-1750,I would have liked brothers and sisters but I don't remember that I was ever lonely.
BNC-1756,She did not say it was a sample of five.
BNC-1761,But no one can say Bishop Malduin has not received latitude.
BNC-1762,He didn't say he was an MP or a baronet nothing like that.
BNC-1763,He did not say that he hoped Floy and Snodgrass were all right because he did not think he had to say it.
BNC-177,Dorcas wouldn't have brought me in here if he knew there was a monster about to bite me.
BNC-1771,Holmes had told Stapleton that he would return to London but he had not said that I was going too.
BNC-1776,He did not say that the accident which had befallen Mr. Banks was death by shooting.
BNC-1780,He never said he was teaching or asked Gabriel what he had learned at the end.
BNC-1782,He did not say that a week ago the boy had been standing under the monkey-puzzle in the middle of the night looking up at the windows of the house.
BNC-1785,Rachaela did not say she would leave the child alone as much as possible and that she in turn would expect to be left alone.
BNC-18,If he believes that I have exhibited any preference for his person above that of the others who have offered for my hand then he is a fool.
BNC-1816,I don't say I knew what was happening but whatever it was it was real.
BNC-183,He hoped he at least sounded businesslike as though it were not a private call and realized immediately that Alexandra would refuse to take the call if she knew it was him.
BNC-1833,I can not say that they were happy days but they taught me what life is about.
BNC-1834,I can't say I'm enchanted with this sugary scene.
BNC-1840,Neither of us has talked about it and I had not said I was writing until I have now started but your father says he lay awake nearly all night thinking about it.
BNC-1866,I know she does wrong things she tries to organize other people's lives she can't see Mr Knightley is a man in a million.
BNC-1874,The play never suggests there is anything unpleasant or even tough in the characters of the husband and daughter - hardly credible of two huge successes in art and literature.
BNC-1875,Beuno didn't suggest that Elizabeth would be expecting him back but ate his omelette as casually and thoughtlessly as the squirrel who had moved off to eat nuts in a different hazel tree.
BNC-1879,He also remembered the goose pimples that appeared on his arms as the evening grew cooler and how he didn't suggest they went inside because he was afraid she would say that it was time to go.
BNC-1880,No one had ever suggested that Artai was a fool.
BNC-1881,Up to now he had been constantly aware of its dark presence encircling the village but nobody had ever suggested that he should enter it.
BNC-1885,When he left he took a pile of exercise books a scrapbook and a diary but a first glance at their contents did not suggest that they were going to be fruitful.
BNC-1889,Dexter noticed his boss did not suggest Lancaster address her by her Christian name in return.
BNC-19,Alice's voice held genuine regret for although she had never thought Madeleine the right girl for Harry she would have done anything possible to forward a marriage between them if she truly believed it would make him happy.
BNC-190,Back at F.B.I.H.Q. where the book ran the show they would have been climbing the walls in the Office of Liaison and International Affairs if they had known that he was out on his own.
BNC-1916,He had never supposed that it was publishable or that Emmie cherished ambitions of that kind.
BNC-1918,I don't suppose the coroner will make any problems about what happened.
BNC-1935,Even if she did not suspect that she might once again be pregnant she knew after all that had taken place she had no other option.
BNC-1937,If the policeman was right if it was a deadly game played by professionals with the resources of the KGB behind them it was important that they didn't suspect their plot had been uncovered.
BNC-1938,She had never suspected that her opponent was a computer made of human brains but the Field Agents of the OEO were recruited for their adaptability.
BNC-1939,Stella hadn't suspected he was musical.
BNC-1951,I know Maria did not tell me that the food was often burnt and uneatable or that they could not sleep because the beds were too cold.
BNC-1952,She did not tell me that the poor hungry children had to wash with ice in the morning and walk through wet snow to sit for two hours with icy feet in a cold church on Sundays.
BNC-1953,She did not tell me that many of the children at the school were ill.
BNC-1955,No she would not tell Peter that the person he loved most in the world was dead.
BNC-1963,Ianthe had not told her mother that she sometimes had to dust the books in the library.
BNC-1964,Duncan didn't tell him that he would never marry while he was a serving officer in the SAS.
BNC-1971,I wondered why McIllvanney had not told me that Rickie and Robin-Anne Crowninshield were drug addicts then I realised that McIllvanney would not have told me anything that might have risked my acceptance of the charter but now that I had learned that the twins had such a severe drug problem I was even less keen to take on the job.
BNC-1986,Part of me didn't think I ever would part of me disapproved part of me was a little scared to tell the truth.
BNC-1987,She didn't think that the work was difficult.
BNC-1991,He had liked her respected her had always been at ease in her company but he had never thought that he really knew her and now he never would.
BNC-1994,He did not say that he hoped Floy and Snodgrass were all right because he did not think he had to say it.
BNC-1997,She had never thought that she would ever travel on such a thing although she could not tell Rose that.
BNC-2001,Mrs Brocklebank had been quiet lately about the tragic possibilities of the house but he did not think she had forgotten.
BNC-2003,Fedorov had not thought anyone could have discovered that much not only about his French activities but those during his youth in Russia.
BNC-2004,He had never thought the reflection which looked back at him each morning from the shaving mirror was particularly handsome.
BNC-2006,It was far out of the reach of grown-ups as well as children except that Jasper did not really think anything was out of his reach.
BNC-2009,And she had slept with Rufus in the Centaur Room it being taken for granted she would share his bed though Adam did not think her wishes had been consulted.
BNC-2012,Maria didn't think Luke seriously believed she craved some material gain to show for their relationship.
BNC-2014,Jehan did not think that Sidacai was in any position to impose conditions but he sat back in his chair considering.
BNC-2015,But in spite of what had happened at the fashion show she did not think Paula had any hand in it until next day at breakfast.
BNC-2016,He had already given away too much if Mr Nightingale himself was one of the List but George didn't think he was simply because he had been too easy to find.
BNC-2018,Floy had asked about dangers and what they might expect to encounter but Fenella did not think it looked especially dangerous.
BNC-2021,She wished she could tell him that Mr Evans hadn't stolen the Will after all but Nick had never thought that he had so there was no point in it.
BNC-2022,Ellie didn't think she would have had that sort of courage.
BNC-2024,But she didn't think it would be advisable to stand in the way of Isabelle Defries either.
BNC-2026,She didn't think she could have gone on handling this by herself not on top of everything else that had happened.
BNC-2027,He remembered the gate at the end of the track had time to hope it was open because he didn't think Conker could jump it.
BNC-2028,She had never thought she would see Alain.
BNC-2034,She hadn't thought she would understand what Fand meant.
BNC-2038,Her logical mind accepted this possibility as it had done countless times before but she didn't think her brother would ever have considered suicide.
BNC-2046,And as for my technique - well my friend loath as I am to admit it I don't think I have one.
BNC-2049,Naturally I didn't think for a minute that my life and spirit could stimulate her.
BNC-2073,I reckoned I'd come back midday and have a look over everything but I don't think there'll be anything missing.
BNC-2080,I don't think I reacted to this story in the way Stuart expected.
BNC-2086,Of course he's a wild man a fox a seal a sort of sprite - such a sweet man - I'm glad he spoke to me I didn't think he remembered.
BNC-2098,I didn't think that was bad considering I 'd just thought of it.
