uID,Prompt
BNC-1180,he got scent of it before the system went down yesterday
BNC-1185,Henry Mendez was Mexican
BNC-1187,the kids were putting the sapling rowan out of its misery
BNC-119,Marc could change what was deeply ingrained in Peter's nature
BNC-1194,Mr Eddie Hogan's daughter's own wishes would hardly be considered in the matter
BNC-120,fitzAlan could travel
BNC-1200,Menzies was trying not to sound drunk
BNC-1201,the big ox was teaching a statue
BNC-1205,in these times it was not worth taking the risk of offending anyone
BNC-1208,Fabia would do that pest of an interview through Lubor
BNC-1211,by giving them some space Maria Luisa would get Steve out of her system
BNC-1213,the inglesa was just exploring the area within the walls
BNC-1217,Leith and Naylor were so enamoured of each other that Naylor was always there
BNC-122,the drapes should be further drawn
BNC-1221,Eve might like to serve the breakfast in the refectory and clear away
BNC-1223,powerful attacks on Sarah might produce the result Nahum longed for
BNC-1224,Liz was an archetypal boss too
BNC-1228,Harrison had used the incident of the bad teeth and the convenience of a farming father to bolt from that tough and dirty job
BNC-1229,it was a game
BNC-1236,he was Franz Kafka
BNC-1240,he belongs to the same world
BNC-1242,it was kids who had stolen the flowers
BNC-1246,Louisa was afraid
BNC-1252,she couldn't lie in bed with her clothes on
BNC-1253,she was going to shoot little Krishna as well
BNC-1254,fitzAlan might be in danger
BNC-1256,something had happened to Adam's mother
BNC-1257,the warning was a necessary one
BNC-1259,she was just a harmless English eccentric
BNC-1264,if it was Billy's kid then somebody had to tell Lucy the bad news
BNC-1273,her half-brother was dead or ill or something had happened to him
BNC-1277,the Collector had just sung an aria
BNC-128,it wasn't a jet carrying hundreds of passengers
BNC-1283,the guy was a man out shopping with his daughter
BNC-1285,the two girls had become bosom friends
BNC-1291,those further disclosures would have had a powerful effect on her
BNC-1292,no meteor shower no space dust had ever touched that brilliance
BNC-1294,other people might take them for mother and daughter
BNC-1295,there was a natural tendency on her part to hint that there was a good professional motive behind her request
BNC-1297,he doesn't want to drop dead without a proper and public recantation
BNC-1305,the kettle was on
BNC-1309,Alida would remember the incident
BNC-1315,something untoward was going to happen this afternoon
BNC-1317,cattle are payment for taking someone's life
BNC-1322,the Liberal Democrats can do any more than secure a hung parliament
BNC-1323,young people should be expected to know the difference between right and wrong
BNC-1324,coal came from wood
BNC-1335,eliminating all witnesses would have needed much persuasion
BNC-1348,any of the three kings stands a chance of ever making a comeback with him
BNC-1351,she could wish anyone dead
BNC-1360,the police aren't dealing with some unholy alliance of the IRA Welsh Nationalists and uppity jocks
BNC-1367,Nevil was out of harm's way
BNC-1373,there was any reply that Julia could make to Miss Coldharbour
BNC-1374,the Archdeacon wanted to do any pursuing
BNC-1375,Maggie was travelling in territory stranger than the night caves that were Fenna's home
BNC-1376,Jed should ask
BNC-1380,refreshment was appropriate to the place and time
BNC-1388,she can abandon Crevecoeur after having worked with hir all this time
BNC-139,one of Mr. Harker's relatives was keen to disrupt the cotton industry
BNC-1399,it was a great occasion for old Willis
BNC-140,the mystifier is deliberately choosing not to be lucid
BNC-1401,Louise must still be suffering on account of her father
BNC-1404,Laura wasn't the only person swimming in the ocean
BNC-1408,for a week the children had imagined the act of murder had been committed
BNC-141,Nora was going away alone
BNC-1411,Christian disapproved of gambling
BNC-1412,it was the audience's patronage and the audience's applause which truly kept the theatre alive
BNC-1430,this was how it would be on Melanie's first morning
BNC-1431,Marie's mother was only forty-two
BNC-1434,the woman's voice was Timothy Gedge's
BNC-1438,one day Jake would turn to Ruth like this
BNC-1443,Rain was wearing a silk scarf for any other reason
BNC-1449,she had killed three people
BNC-1450,the Toacks even existed
BNC-1453,Father had been apprenticed to another business in the town of Ballylee
BNC-1458,the cat was well
BNC-1463,a kiss could feel like this
BNC-1464,he hasn't landed on his backside before today
BNC-1466,Marguerite could be at all assertive
BNC-1467,hunger could actually hurt
BNC-1468,Betty would touch the pheasant
BNC-1472,men and women could discuss such deep feelings together
BNC-1473,publishers could be as wealthy as this
BNC-1474,digging was such hard work
BNC-1475,Nigel would have worried about it
BNC-149,he's in here
BNC-1498,Maggie had the need to act in her
BNC-1499,she was empty of everything except perhaps madness
BNC-15,Stone had slipped quietly away to the phone box
BNC-1500,Berenice was in danger of losing her child
BNC-1502,Venice is packed with visitors
BNC-1507,Maggie's grandmother was famous
BNC-1508,liberal humanism was powerless in the face of fascism
BNC-1512,Clare had followed Tess around and sat watching her
BNC-1519,Adam carried within his mind a directory of the forbidden
BNC-1524,Red smoked
BNC-1526,she was on Uulaa
BNC-1528,Neil's anger and disgust with his old love had been fuelled more by her unpleasant reference to McAllister than anything else she had said to him
BNC-1529,most of the Scottish host had already cast off everything that weighed it down
BNC-1530,it was Veronica's house
BNC-1533,Fernando was a good cook
BNC-1534,this old dear was a long-term patient
BNC-1535,Ruth's magic would call the half-mortals
BNC-1538,this was the first of many visits to this room
BNC-1541,Mr. Lorrimer's appointment had been cancelled
BNC-1545,Miss Lavant was in love with Dr Greenslade
BNC-1548,the Chief Constable knew all about Kate and Kelly
BNC-1553,Isabel had spent the night alone
BNC-1554,Peggy Pine was an old friend of Mother Francis
BNC-1558,the story wasn't true
BNC-1559,she wouldn't steal money like that
BNC-156,she existed at all
BNC-1566,the Twenty-fourthers were after Hasan
BNC-1599,Melanie was still there last night
BNC-1601,he could feel machiavellian
BNC-1606,he still had her address
BNC-1607,Artemis had a sense of humour
BNC-1615,car doors do not need the same sort of treatment as those of railway carriages
BNC-1616,Lili was able to change her nationality as she changed her accessories
BNC-1620,Graham was gay too
BNC-1621,she has to be involved in this kind of nauseous business
BNC-1628,his commitment is less than 110 percent
BNC-1631,Marianne was trying to shut Shannon out
BNC-1633,he wanted to be treated like everyone else
BNC-1635,she is convinced
BNC-1636,he has to stay in one particular mirror
BNC-164,Flaubert was gaining the approval of the future
BNC-1640,he is having an affair with Lexy
BNC-1642,he will surrender his possessions to a pair of punks
BNC-1643,Ashley was prepared to throw herself headlong into a relationship with the first half-decent male who happened by
BNC-1645,she has done a sudden transformation
BNC-1648,the two students were just knocked about a bit
BNC-165,Bill's apprentice was turning supersleuth
BNC-1656,a little troubled crease appeared on Peggy's mummy's forehead
BNC-1659,Willie's knees were being licked
BNC-1660,it was Gina's own number
BNC-1661,McAllister had gone very still
BNC-1664,something was amiss
BNC-1665,Bienvida had at some stage gone back to the Headmaster's Flat
BNC-1667,Fenella was weighing sorcery against steel chains
BNC-1671,he has given up the weed
BNC-1672,falling in love had happened
BNC-1673,the thick roll of tablecloths was there
BNC-1674,the tape had run out
BNC-1675,Howard is himself
BNC-1676,Water Gypsy was no longer under way
BNC-1677,there was now more ebb than flow
BNC-1680,Charity had changed from the blue wrap-around skirt
BNC-1681,Elisabeth was not replying
BNC-1682,they were riding off the main road and into The Chase the oldest wood in England
BNC-1683,the pirates were being observed from the window above by none other than the new Mayor and his entourage
BNC-1688,Karel was repeating himself
BNC-1694,Everett was missing
BNC-1697,she has gone
BNC-1699,science and industry were good in themselves
BNC-1707,this doctoring business came as a total surprise
BNC-1713,lay readers enjoy books more than professional critics
BNC-1716,Bob's interest lay with Sarah Butler
BNC-1722,the car had turned into a short driveway to stop outside a luxurious chalet-type building set in a clearing of beech trees
BNC-1724,Hayley was so ill and could die.
BNC-1725,Ruth remembered that time
BNC-1730,it was a girl
BNC-1748,The Man Who Changed the World had a younger brother
BNC-1750,she was ever lonely
BNC-1756,the few Dominicoes were a sample of five
BNC-1761,Bishop Malduin has not received latitude
BNC-1762,Paul was an MP or a baronet
BNC-1763,Casper hoped Floy and Snodgrass were all right
BNC-177,there was a monster about to bite her
BNC-1771,she was going too
BNC-1776,the accident which had befallen Mr. Banks was death by shooting
BNC-1780,Lucie was teaching
BNC-1782,a week ago the boy had been standing under the monkey-puzzle in the middle of the night
BNC-1785,Rachaela would leave the child alone as much as possible
BNC-18,she has exhibited preference for his person above that of the others
BNC-1816,he knew what was happening
BNC-183,the person calling was Matthew Prescott
BNC-1833,they were happy days
BNC-1834,she is enchanted with this sugary scene
BNC-1840,he was writing until he has now started
BNC-1866,Mr Knightley is a man in a million
BNC-1874,there is something unpleasant in the characters of the husband and daughter
BNC-1875,Elizabeth would be expecting Bueno back
BNC-1879,Peter and Kate should go inside
BNC-1880,Artai was a fool
BNC-1881,Mungo should enter the forest
BNC-1885,the exercise books the scrapbook and the diary were going to be fruitful
BNC-1889,Lancaster should address Blanche by her Christian name in return
BNC-19,marrying Madeleine would make Harry happy
BNC-190,Erlich was out on his own
BNC-1916,Emmie's writing was publishable
BNC-1918,the coroner will make any problems about what happened
BNC-1935,Liza might once again be pregnant
BNC-1937,the professionals' plot had been uncovered
BNC-1938,Defries' opponent was a computer made of human brains
BNC-1939,Geoffrey was musical
BNC-1951,the food was often burnt and uneatable
BNC-1952,the poor hungry children had to wash with ice in the morning
BNC-1953,many of the children at the school were ill
BNC-1955,the person Peter loved most in the world was dead
BNC-1963,Ianthe sometimes had to dust the books in the library
BNC-1964,Duncan would never marry while he was a serving officer in the SAS
BNC-1971,Rickie and Robin-Anne Crowninshield were drug addicts
BNC-1986,she ever would get married
BNC-1987,the work was difficult
BNC-1991,Dalgliesh really knew his aunt
BNC-1994,Casper had to say he hoped Floy and Snodgrass were all right
BNC-1997,Sally-Anne would ever travel on a horse bus
BNC-2001,Mrs. Brocklebank had forgotten
BNC-2003,anyone discovered that much
BNC-2004,Tom's reflection was particularly handsome
BNC-2006,anything was out of Jasper's reach
BNC-2009,Zosie's wishes had been consulted
BNC-2012,Luke seriously believed Maria craved some material gain to show for their relationship
BNC-2014,Sidacai was in a position to impose conditions
BNC-2015,Paula had any hand in it
BNC-2016,Mr Nightingale was one of the List
BNC-2018,the road to the Fire Court looked especially dangerous
BNC-2021,Mr. Evans had stolen the Will
BNC-2022,Ellie would have had that sort of courage
BNC-2024,it would be advisable to stand in the way of Isabelle Defries
BNC-2026,Jessamy could have gone on handling this by herself
BNC-2027,Conker could jump the gate
BNC-2028,Jenna would see Alain
BNC-2034,Ruth would understand what Fand meant
BNC-2038,Eddie would ever have considered suicide
BNC-2046,she has a technique
BNC-2049,her life and spirit could stimulate her mother
BNC-2073,there'll be anything missing
BNC-2080,she reacted to this story in the way Stuart expected
BNC-2086,the wild man remembered
BNC-2098,McInnes' idea was bad
BNC-2100,Ely had considered him wanting to be free
BNC-2101,Morton is capable of interpreting this food for thought correctly
BNC-2102,they don't like her very much in that office
BNC-2104,Jimbo would understand 'quiver'
BNC-2107,the big Norwegian found Ward's accent at all easy
BNC-211,the thoroughfare was the main road
BNC-2119,she can ever be friends with Dora again
BNC-2120,they'd ask for a licence
BNC-2124,Isabel wanted to live
BNC-2143,it is a good idea to attack a plane with a hundred and seven passengers in it and 'take it apart'
BNC-2150,Joe remembered anything from one week to the next
BNC-2152,she is the right person to lead humanity into the future
BNC-2153,Sophie had ever felt something so complicated as guilt
BNC-2154,Petra's band was brilliant
BNC-2163,Robert Forbes' title of producer was merely honorary
BNC-2165,he is not a failure
BNC-2175,she is a thief
BNC-2180,he wasn't noticing
BNC-2182,there is a shipment
BNC-2185,Tara was only the housekeeper
BNC-2186,they were all wrong
BNC-2191,people can have power over spirits
BNC-2192,these seamstresses and pipefitters knew who the fellow was
BNC-2203,it was Kemp that Stratton had seen
BNC-2227,Maelmuire is important
BNC-2229,it would be nice to give up struggling and close your eyes and sleep and never wake any more
BNC-2237,he has heard all this
BNC-2239,Delaney was suspicious about the meteorological report
BNC-2242,once upon a time the Christian world made no distinction between Jews and demons
BNC-2244,the Efik were among the most notorious slavers on the slave coast
BNC-2252,scorpions when threatened by fire stung themselves
BNC-2258,Jaq or Meh `Lindi would rush or fire impetuously till they hit some bystander or the Governor's tabernacle
BNC-2263,Miss Havisham would make his fortune and marry him to Estella
BNC-2266,he could forgive and forget
BNC-227,Jenny's bedroom's at the rear of the house
BNC-2295,there was no one else
BNC-2296,health warnings should be printed upon W.N.B.s
BNC-2307,the hound was following Selden
BNC-2313,at any given moment a response of the bantering sort is truly what is expected
BNC-232,Fabia had deceived Ven
BNC-2325,she is listening
BNC-233,he's been to America
BNC-2330,all Tom said was true
BNC-2332,any moment there would be a knock on the door
BNC-2337,they had no way of paying
BNC-2338,there was no end to working here
BNC-2340,he was up there looking down
BNC-236,Ari had to leave Star Eye
BNC-237,Matthew would rid himself of that core of hatred which was slowly eating him away
BNC-2375,wasps lay their eggs in ladybirds
BNC-2378,he had met the Bookman
BNC-2388,Heather had been there
BNC-2394,the baby was born here
BNC-2397,the planet Saturn is associated with lead
BNC-2414,folk 'll always take advantage of weakness
BNC-2416,the girl whose hat Roger Kenyon had rescued was going to live at Sunset Cottage
BNC-2427,one day the desired function will happen
BNC-2428,a market has crashed
BNC-2429,he is a little bit reconciled to himself
BNC-2430,Mungo was not welcome here
BNC-2436,Tolby had some inkling about the theft of the coins
BNC-2438,Guy Sterne didn't consider the crisis at Chester's to be that big a crisis
BNC-2449,resentment lay just under Peter's skin
BNC-2452,there had never been that brief blinding flare of longing between them
BNC-2453,Natasha had never known anything about the letters
BNC-2459,three aircraft mean twenty-one crew
BNC-2460,Jean was on a life sentence
BNC-2462,the rashly rampaging Inquisitor was only present in this auditorium courtesy of Jaq's Assassin
BNC-2463,the man is dead
BNC-2464,Dr. Serafin is part of Tite's plans
BNC-2468,Cora-Beth is now heir to the title and the Kinmuire estate
BNC-249,part of Polly died
BNC-2490,arachnids had to be totally organic
BNC-2491,the arachnids' glassy strands should be wholly of what was called silk
BNC-2497,Christmas shopping was stressful
BNC-2499,Alice's father had agreed Alice should have some money
BNC-2504,Gramps was Phena's father
BNC-251,a woman had to suffer
BNC-2523,King James somehow survived Flodden
BNC-2527,London is more frantic than the provinces
BNC-2528,Reception had run out of vases
BNC-2533,he is crazy
BNC-2560,her designs aren't suitable
BNC-2566,women are not inferior to men
BNC-2580,Abie was clever
BNC-2584,the government can use this science for their own political ideas
BNC-2604,he runs a rooming house
BNC-2615,all the rest was wrong
BNC-2616,the only obvious beneficiary from Francis's death was Francis's daughter
BNC-263,Zukov was edging further to the side
BNC-2630,Susweca is where she and Paul met
BNC-2658,Therese 'd be able to survive Maritza on the following night
BNC-2661,Valence was helping
BNC-2664,Sara wanted to encourage Matthew herself
BNC-2670,that bright articulate girl would turn out like this
BNC-2677,the Rubenesque figure was still fashionable
BNC-2678,she would be able to manage for a while on her own
BNC-293,Alan Dysart was the same man whom Harry had once employed
BNC-297,there was going to be a vacancy
BNC-299,it was Arson
BNC-300,pigs were ``boring''
BNC-304,it would be almost beyond Sarah's powers to tell Peter of Nona's death
BNC-325,it was Edward's fault
BNC-326,three men had to be employed to do two men's work
BNC-328,the punter had paid Michael fifty quid
BNC-335,Carolyn had borrowed a book from Clare
BNC-342,Michelangelo's David was a frying-pan
BNC-350,he wasn't drinking of that
BNC-356,regular visitors included the likes of Mr Harry Graham valet-butler to Sir James Chambers
BNC-36,Michael Riven can aid this world by standing on his head
BNC-363,black was black
BNC-365,he saw sex organs
BNC-370,very few plans ever needed amendment
BNC-371,his own father could in many ways be considered to rank with such men
BNC-373,the manoeuvre caused something of an uproar at the time
BNC-374,in the circumstances she became very uneasy
BNC-376,the wedding was cancelled
BNC-385,a freely-floating body moves down on the ebb at an average of a bit under two knots
BNC-394,Burun was anything other than his own master
BNC-396,Fernando and Ruth join hands and spurt to the cliff-edge
BNC-397,it would have been difficult for anyone to have thrown away a Tory victory in post-Falklands Britain with a Labour Party led by Michael Foot
BNC-398,Agnes was not security-minded
BNC-402,he and Karen Parsons embarked that afternoon with the intention of drowning her husband
BNC-403,the difference between folly and wisdom had anything to do with either age or youth
BNC-406,Sandor too was scheduled for termination
BNC-407,she was picking up something valuable
BNC-412,Aunt Lilian had enjoyed her life more than most of her married contemporaries
BNC-413,Maura had been with a boy
BNC-415,Crevecoeur is here
BNC-418,Mr. Robinson had also to hold the rod in his hand and drop the line into the water
BNC-420,Nathan had been angry a moment before
BNC-422,the prime sources of Mr. Crump's immense and mathematically infinitely expanding wealth were invariably polluted with the deceits and bad faith of exploitation cruelty oppression barbarism murder and vicious wrongdoing
BNC-426,Hitler was going to turn against the Russians
BNC-427,Lizzy was on drugs
BNC-428,Berowne was dead of a coronary or killed in a car smash
BNC-431,Mitch might well have a lot of opportunity to photograph Spain
BNC-435,there was a girl going to have a child of his
BNC-454,Matthew would stop once Beth had hold of the other end
BNC-455,one of the girls didn't know what Ollie was doing
BNC-459,Donna knew where the book was hidden
BNC-461,John-William had a chance of winning
BNC-463,Ruth was in trouble
BNC-468,Anna could manage
BNC-473,Parsons is safely out of the way
BNC-476,the child was odd
BNC-48,Luke had waited long enough
BNC-488,Isabel had endured a great deal
BNC-491,Doug might punch the ambulance crew
BNC-492,Dixie and the topcoat were innocent members of the park-going public
BNC-50,Carson wanted to see the other diaries
BNC-500,the coach was not coming
BNC-505,he admitted to fornication
BNC-509,Richard's solicitude was the sort of tender kindness you might show to someone utterly dependent and helpless
BNC-510,Esmerelda's name was a bit soppy
BNC-53,being a world-champion tiddly-winks player was something worth taking up
BNC-540,she has any personal knowledge of matters of that kind
BNC-549,he 'd believe such crazy behavior
BNC-555,this is cold
BNC-566,Paige had never seen a better male specimen
BNC-568,Mrs Thatcher had been wrong about something
BNC-570,Terry had fired first
BNC-571,John had not gone to church out of piety and because it was Ash Wednesday
BNC-572,the summons had been the consequence of Scarlet's father's having been an RA
BNC-573,Mrs Stych was on her way
BNC-574,the crippled and deformed there disappeared from the face of the earth
BNC-579,life had served the vicar badly in some way
BNC-583,the well known flamboyant Football League Premier Division chairman is not spying on players
BNC-584,Annabel had a daughter about to go to university
BNC-585,Primaflora was in Carlotta's employment
BNC-586,there were not one but several such figures pushing trolleys about the corridors of Darlington Hall
BNC-587,Harry had been followed to Oxford by somebody determined to leave this macabre calling-card for him to see
BNC-588,Graham feeling bowled over wasn't obvious to every single person in the room
BNC-590,the bone had been nibbled
BNC-591,once the gloss on her love affair dimmed Helmut's money would act as a reminder of the comforts to which she could return
BNC-592,the ancient Ireland had awoken at last
BNC-593,Mother Clare in Dublin would welcome Eve and tell her that the Dublin convent would be her new home for the next year
BNC-599,this was real life
BNC-600,d'Urberville had changed his most secret thoughts and beliefs
BNC-601,Sally's very own sister could be a part of this glittering performance
BNC-602,Lesley-Jane could stimulate male lust
BNC-605,this shivering delight was really happening
BNC-606,Zach was Willie's special friend
BNC-607,the camp inmates were indeed Untermenschen in relation to the SS
BNC-61,Nicky was right
BNC-611,Jenna had allowed this to happen
BNC-613,he was back in Yorkshire
BNC-618,his first finger has threaded through the trigger-guard
BNC-62,there was some justification for the charge
BNC-625,Eddie's death was an accident and nothing to do with him
BNC-629,the wounds Ronan got in a playground were superficial
BNC-631,Shiona was incapable of such behaviour
BNC-634,Ana was not to blame
BNC-636,the old workhorse had given his best and deserved to be put out in rich pastures
BNC-637,the two girls had both had enough
BNC-638,Cromwell would get in anyway
BNC-642,a mutant should not continue as governor
BNC-646,she could stay
BNC-650,the great muscles of the dragon's wings sent ripplings down the stomach walls
BNC-652,death was merciful in the circumstances
BNC-654,the two teeth on either side were also loose
BNC-656,it was up to Arnold's wife to enter the ``artistic'' world to which Arnold remained a devoted but remote outsider
BNC-659,both children had high temperatures
BNC-662,Rupert had made some kind of an effort
BNC-663,he had succeeded with Dana
BNC-667,some senior supporters are unable to afford traveling to these matches
BNC-668,an attacking enemy was surrounded by walls and towers
BNC-67,Mark's work lay here
BNC-670,it was still the night of their parents' wedding
BNC-672,Ma was good in bed
BNC-681,the truth didn't condemn her out of hand
BNC-698,this is just the beginning
BNC-703,the following day would be the sixth anniversary of Lyn and Stephen's engagement
BNC-704,a man has left pyjamas under his pillow
BNC-705,Willie was there
BNC-706,the bell would ring
BNC-709,the police presence was there
BNC-713,she was not normal
BNC-714,the situation was very very serious
BNC-717,the time of day was mid to late afternoon
BNC-720,he 'd get no sympathy from Claire
BNC-725,the guy's tailor was based in Dublin
BNC-726,the song was almost turning into a sob
BNC-727,Barney had been getting an undue amount of visits from the police
BNC-733,Mahoney had a chance
BNC-736,Samantha had walked into a police station
BNC-738,Selden was running as he screamed
BNC-747,Dane would do the same
BNC-748,Isabel was quick
BNC-751,Hari's nervousness didn't show
BNC-752,the Earl of Gloucester would realise the futility of remaining isolated in Normandy when Matilda's cousin was already anointed and crowned
BNC-753,things would improve along the way
BNC-754,moving the girl right away from the influence of the people she went around with into these beautiful surroundings might bring her back to herself
BNC-756,Alison's appointment in London might have something to do with happier news in this connection
BNC-757,she 'd produce a rabbit for Bonanza
BNC-759,Hannele would be there
BNC-760,the mooring-ropes were in better case than the anchors
BNC-761,Dane would feel the same way
BNC-763,when Roman had recovered from jet lag he would have second thoughts
BNC-766,the heavy crop of elderberries did not mean that all the leaves had fallen
BNC-774,Celia was still a bit hazy from the drugs
BNC-780,Sara might be interested in its money-making propensity at the end of the year
BNC-782,the walls had once been lined with an array of expensive paintings or tapestries
BNC-783,Tom would go out and leave his door open if was working about the place
BNC-784,the Crumwallises knocked it back enthusiastically in the privacy of their home
BNC-786,Meryl and Anthea had some sort of common bond
BNC-787,she would want to go back to Helmut
BNC-788,Luke had gone to the trouble of virtually kidnapping Folly in order to spend a quiet weekend playing Scrabble
BNC-790,April was comporting herself in an attractively provocative and feminine fashion
BNC-791,Emma would have been all congratulations and the joys of womanhood
BNC-792,Meh ' Lindi could attain the full strength of a purestrain Stealer
BNC-793,Jean-Claude would have done all he could to dissuade Montaine from decamping
BNC-794,the old times were back
BNC-795,Maurice had read Charlotte's thoughts
BNC-796,anyone was capable of any such omniscience
BNC-797,the post was filled before he released Meik
BNC-801,Leo wouldn't do anything so obliging as to walk off
BNC-803,Gloria's boundless interest in all things morbid and sensational would make dodging the subject impossible
BNC-808,in Henry's case the operation would prove a little more complicated
BNC-810,Luke would never divulge his relationship with Elise
BNC-813,Spruce needed help
BNC-816,the Newleys ' burglar alarm was one of the early Custodemus models
BNC-817,all of Alina Petrovna's efforts would end like this
BNC-819,Madeleine's friend was in the building being interrogated by the Obersturmfuhrer
BNC-820,it was useless to argue with McAllister
BNC-821,this was their big moment
BNC-823,he was in despair
BNC-825,she is travelling in this car
BNC-829,even someone as sensible as Miss van Williamsburgh would try to make a play of this sort
BNC-83,the Dane was pro-British and being forced to collaborate
BNC-837,Dr. Lorrimer would be mixed up in fighting
BNC-839,Lisabeth wouldn't have walked up the stairs herself to leave a note
BNC-844,there was something wrong
BNC-85,Philip had taken them
BNC-87,she didn't like it when it came
BNC-870,someone in Bill's yard had been involved
BNC-872,Cobalt didn't know
BNC-874,General Etienne was dead
BNC-875,Dubois was no better than their enemies
BNC-877,Jeff Dudley is a spy nowadays
BNC-88,she's at a dead end
BNC-882,Miss Macdonald was trying to put a brave face on things
BNC-883,Frances had something else on this weekend
BNC-885,Blagg would stay where he was and do nothing
BNC-886,Bunny once knew a Swedish waitress
BNC-891,Veronica had had nothing to do with her husband's death
BNC-892,Cindy Hill had revealed at least some of whatever it was that bothered her
BNC-895,the lake should be frozen
BNC-899,he did not ridicule Alec as the others did
BNC-900,the money was gone
BNC-901,Ianthe's dark hair was touched with grey
BNC-902,Sinkport closely resembles a well-known coastal town in East Sussex
BNC-903,he had been away
BNC-904,Frank Donovan was not the jovial easy-going character she remembered
BNC-908,he's not shaking any more
BNC-911,Tina had been up for hours
BNC-917,Miriam was visiting the dentist
BNC-92,there was no spare tank
BNC-923,the fittest product with the most colorful packaging was the most likely to be pollinated by purchase
BNC-927,Patrick had recovered his nerves
BNC-939,this meant her former role was now vacant
BNC-94,it was murder
BNC-941,the manager's job was third prize
BNC-946,he doesn't have a car
BNC-947,there was an age for puppets and magic
BNC-954,Patterson had a meeting with his door shut and nobody got fired
BNC-957,he spent some time in Paris
BNC-963,the Deputy Under Secretary was both pleased and relieved to be back at his desk on a grey Monday morning in London
BNC-967,she had known Mr. and Mrs. McLeod for most of their lives
BNC-971,Frederica was a good moral influence
BNC-972,Derek was the biggest fool the world had ever seen
BNC-973,Derek had always had charming manners
BNC-978,Strawberry's tail was an oak tree
BNC-979,the siege nevertheless had a bad effect on the Collector
BNC-980,others hated Paula
BNC-986,the copy of the tutor's program was homework
BNC-989,the English lover was a mask for Sergei
BNC-996,Sam put his wife and child first
