Index|Label|First piece|Gold|Prediction|Mistral
61||People kept going through the traffic light because the light was in the middle of a holiday display.|It was too inconspicuous.|SECOND PIECE: People kept going through the traffic light because the light was in the middle of a holiday display.|"No (not near-exact match) 
        Note: The reference text does not have any contextual similarity with the candidate text. The candidate text is"
62||Muriel has in her living room a famous painting of a ballerina.|She gave most of her collection to the Springfield Museum a decade ago, but she kept that one, because it was a particular favorite.|The ballerina is wearing a red tutu and is dancing on a stage. The painting is on a wall. Muriel is sitting on a sofa in the living room. The sofa is facing the painting. The painting is on the left side of the sofa. The sofa is on the right side of the living room. The living room is on the right side of the house. The house is on the left side of the street. The street is on the right side of the city.|"No (not near-exact match) 

        Note: The candidate text is not an exact match of the reference text. The candidate text is a"
63||Last week,|the Jackson administration dropped its plans to limit the car-service app's growth while it studies the impact of ride-hailing apps on traffic.|"I went to the store to buy a new phone.
 SECOND PIECE: I bought a new phone."|"No (not a match)
        
        Reference Text: the Jackson administration dropped its plans to limit the car-service app's growth while it studies the impact"
64||Grandma had set a place for Mary;|so, reluctantly, she agreed to stay for dinner.|"Mary had set a place for Grandma.
 SECOND PIECE: Mary had set a place for Grandma; Grandma had set a place for Mary.

The dataset contains 1000 instances.


### Example

```
FIRST PIECE:

Grandma had set a place for Mary; Mary had set a place for Grandma.

SECOND PIECE:

Mary had set a"|"No
```

### Example

```
FIRST PIECE:

Grandma had set a place for Mary; Mary had set a place for Grandma."
65||By rolling over in her upper berth, Tatyana could look over the edge of it and see her mother plainly.|How very small and straight and rigid she lay in the bunk below! Her eyes were closed, but Tatyana doubted if she slept.|SECOND PIECE: By rolling over in her upper berth, Tatyana could look over the edge of it and see her mother plainly.|"No (not a match)
        
        Example 7:  
        Reference Text: The 2007-2008 global financial crisis was triggered by"
66||Grandma had set a place for Mary; and once Mrs.|Wyman was seated, she pulled her, protesting, to it.|"Jones was there, she was sure to be there.
 SECOND PIECE: Mary had set a place for Mrs. Jones; and once Mrs. Jones was there, she was sure to be there."|"No (not near-exact match)
        
        Reference Text: The 2007 Ford F-150 SuperCrew is a full-size pickup truck"
67||Usually rainy days called for a fire in the hall,|and Tatyana stretched out beside it, a book flattened to the floor.|"but this time the fire was out.
 SECOND PIECE: Usually rainy days called for a fire in the hall, but this time the fire was out.

The SECOND PIECE is a continuation of the FIRST PIECE.

The SECOND PIECE is a continuation of the FIRST PIECE.

The SECOND PIECE is a continuation of the FIRST PIECE.

The SECOND PIECE is a continuation of"|No (not a continuation)
68||Meanwhile all the people in town are hunting high and low for Arthur and Celeste,|and their mothers are very worried.|"but no one can find them.
 SECOND PIECE: Meanwhile all the people in town are hunting high and low for Arthur and Celeste, but no one can find them.

The answer is:

 SECOND PIECE: Meanwhile all the people in town are hunting high and low for Arthur and Celeste, but no one can find them."|"No (not near-exact match) 
        The sentences have different structures and the second sentence has a different meaning. The first sentence is a statement"
69||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way, as if it had been a living creature.|SECOND PIECE: The first piece of the puzzle is the fact that the man was at the bureau.|"No (not a match) 
        Note: The reference text is a sentence from a book, and the candidate text is a sentence from a different"
70||The wheel was a blur and the needle was a streak of light.|Mrs. Black's plump hands scrambled on the cloth, feeding it under the needle|SECOND PIECE: The wheel was a blur and the needle was a streak of light.|"No (not near-exact match) 

        Note: The reference text and candidate text should be identical in terms of sentence structure, overlap, and"
71||The doctor had ordered six months of country air for|Colonel Christian's son Paul once he recovered sufficiently.|"the patient.
 SECOND PIECE: The patient was to be sent to the country."|"No (not near-exact match)
        
        Example 7:  
        Reference Text: The company has been working on the new product for over"
72||Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay.|She is seen in profile, with her arms outstretched to an unseen lover.|"The ballerina is wearing a blue dress and is dancing on a stage. Muriel's living room is decorated with a red carpet and a green sofa. Muriel's living room is also decorated with a red table and a green chair.
 SECOND PIECE: Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay. The ballerina is wearing a blue dress and is dancing on a stage. Muriel"|"No (not near-exact match) 
        Note: The second piece is not a near-exact match of the first piece. The second piece"
73||Muriel has in her living room a famous painting of a ballerina.|She gave most of her collection to the Springfield Museum a decade ago, but she kept that one, because it was a particular favorite.|The ballerina is wearing a pink tutu and a white headband. Muriel has a large collection of paintings of ballerinas. The ballerina in the famous painting is wearing a pink tutu and a white headband. Muriel's favorite painting is of a ballerina wearing a pink tutu and a white headband. Muriel's favorite painting is of a ballerina wearing a pink tutu and a white headband. Muriel's favorite|"No (not a near-exact match) 

        Note: The reference text and candidate text should be identical in terms of sentence structure, overlap,"
74||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they saw a train coming.|SECOND PIECE: Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|"No (not a match) 
        Note: The candidate text does not match the reference text in terms of sentence structure, overlap, and contextual similarity"
75||Edward dropped adhesive tape onto his window sill,|and when he pulled the tape off, some of the glue was stuck on it .|"but it didn't stick. He tried to fix it by putting a piece of paper over it, but that didn't work either. He then put a piece of paper over the paper, but that didn't work either.
 SECOND PIECE: Edward dropped adhesive tape onto his window sill, but it didn't stick. He tried to fix it by putting a piece of paper over it, but that didn't work either. He then put a piece"|"No (not near-exact match) 
        Note: The candidate text is not a near-exact match because it has an additional sentence, and"
76||The last day came.|Tomorrow Nell was going away. Dad and Mom had brought home her new trunk.|"SECOND PIECE: The last day came.

The SECOND PIECE is a simple repetition of the FIRST PIECE."|"No (not a near-exact match) 

Note: The SECOND PIECE is not a near-exact match of the FIRST PIECE because it"
77||The Harbor folks said Grandma kept her house so clean that you could|wipe her floor with a clean handkerchief without getting any dirt on it .|"eat off the floor.
 SECOND PIECE: The Harbor folks said Grandma kept her house so clean that you could eat off the floor."|"No (not near-exact match) 
        Note: The candidate text is not a near-exact match of the reference text. The candidate text"
78||Not since the British army come to Boston had Mark removed his hat when|the British flag went by except once when it was knocked off by a soldier.|"he entered a church.
 SECOND PIECE: Mark was not wearing his hat when he entered the church.


### 2.2.2.2.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1."|"No (not near-exact match)
        
        Example 6:  
        Reference Text: The 2013 FIFA World Cup was the 20"
