Index|Label|First piece|Gold|Prediction|Mistral
10||"When I was 8 years old, and going through my Marx Brothers phase, my father read in the TV Guide that they were showing the Marx Brothers film, ""The Big Store"" late on Friday night, and set the VCR to tape it for me. When I woke up on Saturday -- due no doubt to a misprint in the TV guide -- my father and I discovered ""The Story of Mankind"" had been recorded instead.<br /><br"|"/>""The Big Store"" was probably one of the least funny of all the Marx Brothers movies and nevertheless it stands as one of the century's finest works of cinema when compared with ""The Story of Mankind."" I can almost justify TV Guide's error, in that the Marx Brothers -- Groucho, Chico, and Harpo -- appear in both movies. Although in ""The Story of Mankind,"" they are divided up into a series of unrelated scenes: Groucho plays Peter Minuit, Chico plays some guy talking to Christopher Columbus, and Harpo plays Isaac Newton????? Harpo's scene lasts about half a minute; Chico only has two or three lines; Groucho's scene is at least funny, but horribly racially insensitive by today's standards. The rest of the movie doesn't bear mentioning. They trotted out some of the finest actors of the day, and made them recite total garbage. What a disappointment.<br /><br />TV Guide, I sent you a nice letter, I'm still waiting for an apology.<br /><br />For the record: ""The Big Store"" has a wonderful bit of physical comedy with the Marx Brothers on roller skates, and a couple of songs by Virginia O'Brien. I was really looking forward to seeing it."|/>I was devastated. I had been looking forward to seeing the Marx Brothers for weeks. I was inconsolable. My father tried to console me, but I was inconsolable. I was inconsolable. I was inconsolable. I was inconsolable. I was inconsolable. I was inconsolable. I was inconsolable. I was inconsolable. I was inconsolable. I was inconsolable. I was inconsolable. I was|"No (not a near-exact match) 

        Note: The instruction is to respond only with ""Yes"" or ""No"". The response should"
11||Seriously, I don't understand how Justin Long is becoming increasingly popular. He either has the best agent in Hollywood, or recently sold his soul to Satan. He is almost unbearable to watch on screen, he has little to no charisma, and terrible comedic timing. The only film that he has attempted to anchor that I've|remotely enjoyed was Waiting... and that is almost solely because I've worked in a restaurant. But I digress. Aside from it's terrible lead, this film has loads of other debits. I understand that it's supposed to be a cheap popcorn comedy, but that doesn't mean that it has to completely insult our intelligence, and have writing so incredibly hackneyed that it borders on offensive. Lewis Black's considerable talent is wasted here too, as he is at his most incendiary when he is unrestrained, which the PG-13 rating certainly won't allow. The film's sole bright spot was Jonah Hill (who will look almost unrecognizable to fans of the recent Superbad due to the amount of weight he lost in the interim). His one liners were funny on occasion, but were certainly not enough to make this anywhere close to bearable. If you just want to completely turn your brain off (or better yet, don't have one) then maybe you'd enjoy this, but I can't recommend it at all.|"seen is ""Dodgeball"" and he was terrible in that. I would rather watch a movie with a bunch of fat people than watch him in anything. I'm not sure what he's doing in ""Accepted"" but I'm sure he'll be terrible. I'm not sure if he's trying to be a serious actor, but he's not good at it. He's not good at comedy either. He's just a terrible actor. I don't understand why he's getting all these"|"No (not a near-exact match) 
        
        Example 6:  
        Reference Text: The company has been working on a new product"
12||The CinemaScope color cinematography of Leon Shamroy is quite remarkable here,including his use of colored filters for<br /><br />various scenes. The Alfred Newmann Score has to be the most sensual and seductive score Hollywood ever produced.|It's a shame it is no longer available on CD. The actors, however, never rise to the occasion. The accents are so varied, from the subdued British of Ustinov and Purdom to the Hollywood of Baxter and Mature that it seems a true hodgepodge with no central vision. Tommy Rettig is jarringly American. Acting styles span the range from zombie-like to stilted. Only Ustinov as a conniving one-eyed servant steals the show - what there is of it to steal. The premise - the story of a young Egyptian doctor, seduced and abandoned by the rich - and the parallel theme of the cult of the single God, Ra - persecuted by the authorities, has its interesting points. But when the film's plot fades, it is the haunting music and visuals that remain.|"The<br /><br />film is a masterpiece of the art of filmmaking and is a must see for all film lovers.
            CONTINUATION: The CinemaScope color cinematography of Leon Shamroy is quite remarkable here, including his use of colored filters for various scenes. The Alfred Newmann Score has to be the most sensual and seductive score Hollywood ever produced. The film is a masterpiece of the art of filmmaking and is a must see for all film lovers.
            LABEL: 1"|No (not a near-exact match)
13||I thought of this movie when i watched pluto nash...why..because both movies have randy quaid playing a retarded robot,|this movie made years earlier but probably written by a screenplay writer that drank the same biotoxic coffee or something like that...Whoa...AVOID AT ALL COSTS even to pay tribute to the late great Andy Kaufman is hard to do here...find another film or just watch taxi reruns on latenight tv...his latka gravas character is so much more loveable...TANK YOU BERRY MUCH|and both movies are about the same time period. i think this movie is a rip off of the original, but it is still a good movie. the story is about a robot named randy quaid who is sent to earth to find a human to love. he finds a girl named jennifer connelly and falls in love with her. they get married and have a baby. but then the robot is taken away from the family and sent back to space. the movie is about the robot trying|"No (not a near-exact match) 
        Note: The answer is No because the candidate text does not match the reference text in terms of"
14||Although Humphrey Bogart got star billing in King Of The Underworld, I'm willing to bet he didn't thank Jack Warner for it. In fact this film was one hollow crown.<br /><br />King of the Underworld was supposedly a remake of the Paul Muni film, Dr. Socrates, but given Humphrey Bogart was in the cast, the character is written more like Duke Mantee in The Petrified Forest. He even has an English writer along in the person of James Stephenson.<br /><br />Kay|Francis and John Eldredge are a pair of married doctors and Eldredge pulls off a tricky bit of surgery on one of Bogart's henchmen. Bogey's a man who appreciates good work done on his behalf and gives Eldredge $500.00 and there's more where that came from if he plays his cards right. Eldredge who has a gambling problem sees a good way to get some undeclared income. <br /><br />But when he's killed in a raid on the gang's hideout, Francis is also thought to be involved by the law and the American Medical Association no matter how much she protests her innocence. It's no good and she and her aunt Jessie Busley move to a small town to get away from the notoriety.<br /><br />Of course the notoriety and Bogart and an itinerant Leslie Howard like writer in Stephenson all meet up with her again. But Kay is plucky and resourceful to say the least.<br /><br />Bogart's character was ridiculous, no wonder the poor guy was screaming for better parts. He's a gangster who both shoots down people without mercy and gives his henchmen hotfoots just for laughs. He's concerned about his image and therefore kidnaps writer Stephenson to ghost write his autobiography and of course confesses enough to burn him in all 48 states. And then let's Kay Francis completely outsmart him, hard to believe he was king of anything.<br /><br />Definitely one of the lesser works for either of the stars.|Francis is the wife of the title character, who is a gangster. She is a very good actress, but she is miscast here. She is supposed to be a gangster's moll, but she is too good for that. She is a very good actress, but she is miscast here. She is supposed to be a gangster's moll, but she is too good for that. She is a very good actress, but she is miscast here. She is supposed to be|"No (not a near-exact match) 
        
        Example 6:  
        Reference Text: The 2019  World Cup was the"
15||While I am not a woman, I can enjoy a chick flick if its good. This one however is beyond bad. You have the by the book story, girl is getting divorced, boy with issues shows up. BOOM magic happens and his demons are banished as she realizes her life has a new purpose.<br /><br />Now while I can believe that kind of thing might happen, I am not an|idiot. It wouldn't happen over a weekend of geriatric rumpy-pumpy, it would take time. Yet here the producers know they only have 1 hour and 30 minutes so they force the changes of the two to happen, I suppose a night of getting hammered and a night of gramps and granny going at it like dogs in heat might be enough if you believed romance novels were the gospel... but most people don't.<br /><br />Now, if that isn't enough... the producers remembered that a chick flick needs to make the viewer cry... well they tried to make you cry with the two senior citizens getting jiggy with it by failed... so how could they hit you again? Why I know, lets kill off one of the characters for no good reason at all except that a random death will surely bring a tear to the eye.... and now lets have the teen daughter magically bond with heart broken mom for no reason besides the fact that it would be nice (completely unreal, but who cares).<br /><br />So there you have it... girl find boy, boy find love, death finds boy and mom cries.... what a movie - NOT.|idiot. This movie is so bad that it is actually funny. The acting is terrible, the story is terrible, the plot is terrible, the characters are terrible, the dialogue is terrible, the cinematography is terrible, the music is terrible, the editing is terrible, the special effects are terrible, the directing is terrible, the writing is terrible, the production is terrible, the soundtrack is terrible, the costumes are terrible, the makeup is terrible, the hair is terrible, the lighting is terrible,|"Yes (near-exact match) 

        Note: The reference texts are provided for your reference only. The task is to compare the candidate texts with"
16||"What do you get when you put Lou Diamond Philips, Todd Bridges, Barry Corbin with a bad toupee, and an alien all on a train? You get a very bad movie called ""Alien Express"" or ""Dead Rail"" that would be more entertaining on Comedy Central's old series"|"""Mystery Science Theater 3000."" You name it, this awful movie suffered in areas of acting, plot, storyline, and special effects. In fact, the exterior passenger train shots looked like the production staff used a common HO scale model in front of a painted background! The rest of the special effects goes downhill from there.<br /><br />The plot is very predictable and is similar to two 1970's movies called ""Horror Express"" and a disaster movie called ""The Cassandra Crossing."" At least ""The Cassandra Crossing"" had a better cast, an engaging storyline, and real train scenes.<br /><br />If you want a good laugh and a movie to mock at a ""B movie"" party then watch this; otherwise, ""Alien Express"" derailed long before departing from the station!"|"""Mystery Science Theater 3000"" than it would be in a theater. The movie is so bad that it is almost impossible to believe that it was made in 1999. The movie is so bad that it is almost impossible to believe that it was made in 1999. The movie is so bad that it is almost impossible to believe that it was made in 1999. The movie is so bad that it is almost impossible to believe that it was made in 1999"|"No (not a near-exact match) 

        Note: The candidate text in Example 5 is not a near-exact match because the candidate"
17||I`m in two minds about FOLLOWING , the film debut of Christopher Nolan . Part of me admires it for costing 6,000 dollars to make but part of me hates it for being too art house . In many ways it|reminds me of the cult movie PI , a film I disliked , and I can`t get my head around the central plot of a man who wants to be writer following people around . Wouldn`t it be more logical for someone wanting to be a writer to sit in front of a keyboard and write ? <br /><br />Oh well I guess FOLLOWING gives indie film makers hope that just because they made a no budget movie costing $6,000 over two thousand IMDB members will vote for it and over five hundred members will comment on it , but you have to wonder if this movie would be so well regarded if it wasn`t made by the director of MEMENTO ?|is a film that is too clever by half. It is a film that is too clever by half. It is a film that is too clever by half. It is a film that is too clever by half. It is a film that is too clever by half. It is a film that is too clever by half. It is a film that is too clever by half. It is a film that is too clever by half. It is a film that is too clever by half. It is|"No (not a match) 
        Note: The candidate text is not a match because it is not a coherent piece of writing. The candidate text"
18||If I compare two films with Sacha Cohen, Borat and Ali G then Ali G is immeasurably better. I'ts no master piece, but it's a film at least. Borat is complete garbage and I do not understand how it rated better then Ali G.<br /><br />I cannot put my finger on it, there|something wrong with the Ali G script: half of the jokes are as if written by a 15 years old, not by an adult scriptwriter. And a number of jokes including Mr Cohen's lower body are quite tasteless. <br /><br />But the film actually comes together as a comedy and there are some valid jokes too that are funny: such as how Ali G becomes a member of government for doing something scandalous and stupid in the public (sadly true in today's western society: people get careers for doing stupid things in public), also Ali's advice about immigrant policy and some others. <br /><br />Ali G overall remains a sympathetic character, even though a kind of mentally underdeveloped for his age. But it's OK to watch,it's quite funny.<br /><br />But never ever watch Borat, it's awful and makes every intelligent movielover sick.|'s just something about Borat that makes me want to puke. I don't know if it's the language, the subject matter, or the fact that it's just a bad film. I don't know. I just don't like it. I don't like it at all.<br /><br />I don't know if it's the language, the subject matter, or the fact that it's just a bad film. I don't know. I just don't like it.|"No (not a near-exact match) 
        Note: The candidate text is not a near-exact match because it does not match the reference"
19||Once upon a time there was a great American film. Which combined horror and comedy with equal thrills. This film featured clever direction. Groundbreaking special effects and superb comedic and serious acting. It was entitled 'An American Werewolf in London.' Sixteen years later the long awaited sequel was finally pinned onto the poster board outside your local theater. Surely it would have at least some of the thrills of the original. Think again. 'An American Werewolf in Paris' is an incomprehensible mess from start to pitiful finish. The problems begin with the leading man. Tom Everett Scott's performance|is stiff and tiresome. From the outset he seems intent on proving that all young people are simpletons. In his defense, not even a seasoned Shakespearean thespian could have extracted a good performance from the juvenile and witless dialogue. At one point, one of Scott's deceased friends, who's soul is doomed to walk the Earth after being carved up by one of the werewolves, Is finally able to leave for the afterlife. He then quips to Scott and his friends. 'Okay guys, see ya.' What a memorable goodbye. Julie Delphy soon shows up as Scott's mysterious European love interest. Basically, she's a French girl playing the French girl. It isn't much of a stretch. But all this stupidity isn't even the most disappointing thing about the film. The special effects, such an integral part of the superb original film, fall far short in this flop. The werewolves look like cartoons. And no matter how well you sculpt a cartoon with sinewy lycanthrope muscles. It's still hard to get scared of a cartoon. So instead the vacationing American gang, led by the ultra weak Scott, keep finding excuses to return to the werewolf's catacombs lair. Here it's much easier for this incompetent special effects crew to keep the computer enhanced creatures or absurd beast masks under the cover of darkness. Some have said that if you don't look on this film as a sequel it's not as bad by comparison. I disagree, this film can not stand on its own, and is even more of a disgrace when compared to the brilliant original. If it doesn't want to be looked on as a sequel it should not have borrowed most of the title from the 1981 film. I , don't care how much you love werewolves. Or how much you worshiped 'American Werewolf in London.' as I myself did. This one is simply not worth wasting your time. 'Okay guys, see ya.' Terrible. 3 out of a possible 10 T.H.|is so bad that it makes the original film's lead, David Naughton, look like a genius. Scott's character is a young American who is in Paris to study art. He is a bit of a playboy and a bit of a jerk. He is also a bit of a jerk to the beautiful French woman he meets. She is played by Julie Delpy, who is a talented actress. She is also a talented actress in this film. She is the only one who is|"No (not near-exact match) 
        Note: The candidate text is not a near-exact match of the reference text. The candidate text"
20||This is one of those movies I watched, and wondered, why did I watch it? What did I find so interesting about it? Being a truck driver myself, I didn't find it very realistic. No, I've never used a 'lot lizard', nor have I ever seen, nor heard about one traveling around the country in a brand new seventy|thousand dollar RV, either.<br /><br />Same thing about a pimp whom has never sampled the lady in question (until the end of the movie, and well, he still really didn't...), and only getting 50 bucks 'a cut', when the prostitute gets $200.00 (well, $150.00 after his cut, yeah...).<br /><br />I still laugh at the lot lizard comment Ivey made (them's Lot Lizards, they'll screw anything with 20 bucks, and some are men dressed as woman... or something equally as weird), meaning, we're better then them, as we may still be prostitutes, but we get paid BETTER.<br /><br />Other then that, it's just a story of a young woman whom wanted something more from life then a dead end job while living at home (she's 18, remember?) and embarrassed by her mother basically doing the same thing (dead end job). At least she had a roof over her head and a job. She turned FIVE tricks on the road... I wonder if the $750.00 she made was worth it? I'd guess not.|-five thousand dollar truck. I've never seen a truck stop like that either. I've never seen a truck stop like that. I've never seen a truck stop like that. I've never seen a truck stop like that. I've never seen a truck stop like that. I've never seen a truck stop like that. I've never seen a truck stop like that. I've never seen a truck stop like that. I've never seen a truck stop like that. I've never seen|"No (not a match) 
        Note: The candidate text is not a match with the reference text. The candidate text is a jumbled collection"
