Index|Label|First piece|Gold|Prediction|Mistral
12||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|"SECOND PIECE: Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.

            The task is to complete the sentence by filling in the blanks with the correct words.

            The words in the blanks are not necessarily the same as the words in the first piece.

            The first piece and the second piece are not necessarily the same length."|No (no match)
13||The wheel was a blur and the needle was a streak of light.|Mrs. Black's plump hands scrambled on the cloth, feeding it under the needle|"SECOND PIECE: The wheel was a blur and the needle was a streak of light.

            FIRST PIECE: The wheel was a blur and the needle was a streak of light. 
            SECOND PIECE: The wheel was a blur and the needle was a streak of light.

            FIRST PIECE: The wheel was a blur and the needle was a streak of light. 
            SECOND P"|No (no match)
14||Muriel has in her living room a famous painting of a ballerina.|She bought the painting when she was thirty.|"SECOND PIECE: The painting is by <NAME>.

            The answer is: 
            <NAME>

            The answer is: 
            <NAME>

            The answer is: 
            <NAME>

            The answer is: 
            <NAME>

            The answer is: 
            <NAME>

            The answer is: 
            <NAME>

            The answer is"|No (no match)
15||Muriel has hanging in her living room a famous painting|by Cecile d'Arblay of a ballerina putting on her shoe.|"SECOND PIECE: of a woman in a red dress.

            FIRST PIECE: The painting is by <NAME>.
            SECOND PIECE: It is a portrait of <NAME>.

            FIRST PIECE: The painting is called ""The Red Dress"".
            SECOND PIECE: It is called ""The Lady in Red"".

            FIRST PIECE: The painting is a gift"|No (no match)
16||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way as if it had been a living creature.|SECOND PIECE: Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|No (not a match)
17||Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|"who was a member of the Bolshevik Central Committee, 
            was arrested in 1937 and executed in 1938.
            SECOND PIECE: Lev Kamenev was a member of the Bolshevik Central Committee."|No (not near-exact match)
18||The wheel was a blur and the needle was a streak of light.|Mrs. Black's plump hands scrambled on the cloth, feeding it under the needle|"SECOND PIECE: The wheel was a blur and the needle was a streak of light.

            The first piece of the test split is a single sentence. The second piece of the test split is a single sentence.

            The first piece of the test split is a single sentence. The second piece of the test split is a single sentence.

            The first piece of the test split is a single sentence. The second piece of the test split is"|No (not a match)
19||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way, as if it had been a living creature.|SECOND PIECE:|"No (no match)
---
Note: The reference texts are provided for your reference only. Do not copy the texts into your response."
20||The people in my reading group found Carpenter's|poems hard to understand because they are obscure.|"1980 book on the Winograd Schema Challenge to be a very interesting read.
            SECOND PIECE: Carpenter's 1980 book on the Winograd Schema Challenge to be a very interesting read.

            The goal is to complete the sentence.

            The sentence must be a complete sentence.

            The sentence must be grammatically correct.

            The sentence must be in the present tense."|No (no match)
21||The people in my reading group found Carpenter's|poems hard to understand because they are obscure.|"1980 book, _The_ _Making_ _of_ _America_ , to be a fascinating account of the history of the United States.
            SECOND PIECE: The people in my reading group found Carpenter's 1980 book, _The Making of America_ , to be a fascinating account of the history of the United States.

            FIRST PIECE: The people in my reading group found Carpenter'"|No (not a near-exact match)
22||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|"SECOND PIECE: Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.

            The original form of the FIRST PIECE is:
            Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.

            The original form of the SECOND PIECE"|No (not a match)
23||When Maude got to school, Nell Raleigh was already there.|She tucked her mittened hand under Maude's arm and squeezed it.|"SECOND PIECE: When Maude got to school, Nell Raleigh was already there.

            The answer is:
            When Maude got to school, Nell Raleigh was already there.

            The answer is:
            When Maude got to school, Nell Raleigh was already there.

            The answer is:
            When Maude got to school, Nell Raleigh was already there.

            The"|No (no match)
24||Muriel has hanging in her living room a famous painting|by Cecile d'Arblay of a ballerina putting on her shoe.|"SECOND PIECE: of a woman with a dog.
            
            FIRST PIECE: The painting is by <NAME>, 
            SECOND PIECE: and is called ""The Dog"".
            
            FIRST PIECE: The painting is a copy of a painting 
            SECOND PIECE: by <NAME>, and is called ""The Dog"".
            
            FIRST PIECE: The"|No (not a near-exact match)
25||After all,|Steve might have decided that Mark's legs and ears were better than his hands --- and deliberately let him do the work that best suited him.|"1984 is a novel.
            SECOND PIECE: After all, 1984 is a novel.

            FIRST PIECE: The book is about the life of Winston Smith.
            SECOND PIECE: The book is about the life of Winston Smith.

            FIRST PIECE: The book is about the life of Winston Smith.
            SECOND PIECE: The book is about the"|No (no match)
26||Grandma had set a place for Mary; and once Mrs.|Wyman was seated, she pulled her, protesting, to it.|"Mitford had finished her tea, she went to the piano and played 
            some of her favorite songs.
            SECOND PIECE: Grandma had set a place for Mary; and once Mrs. 
            Mitford had finished her tea, she went to the piano and played 
            some of her favorite songs.

            FIRST PIECE: Grandma had set a place for Mary; and once Mrs."|No (no match)
27||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way as if it had been a living creature.|SECOND PIECE: Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|No (not a match)
28||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way, as if it had been a living creature.|"SECOND PIECE: 
            INSTRUCTION: Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr."|No (not a match)
29||People kept going through the traffic light because the light was in the middle of a holiday display.|It was too inconspicuous.|"SECOND PIECE: The light was in the middle of a holiday display.
            
            The answer is: The light was in the middle of a holiday display.
            
            The answer is: The light was in the middle of a holiday display.
            
            The answer is: The light was in the middle of a holiday display.
            
            The answer is: The light was in the middle of a holiday display."|No (no match)
30||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way, as if it had been a living creature.|"SECOND PIECE: Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr. 
            EXPECTED RESULT: Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr. 

            FIRST PIECE: Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr. 
            SECOND PIECE: Mat advanced"|No (no match)
31||Mark became absorbed in Blaze, the white horse.|He was afraid the stable boys at the Burlington Stables struck at him and bullied him because he was timid, so he took upon himself the feeding and care of the animal.|"SECOND PIECE: Mark became absorbed in Blaze, the white horse.

            The answer is: Mark became absorbed in Blaze, the white horse.

            The answer is: Mark became absorbed in Blaze, the white horse.

            The answer is: Mark became absorbed in Blaze, the white horse.

            The answer is: Mark became absorbed in Blaze, the white horse.

            The answer is: Mark"|No (no match)
32||Always before, Larry had helped Dad with his work.|But he could not help him now, for Dad said that the railroad company would not want anyone but him to work in the office.|"SECOND PIECE: Always before, Larry had helped Dad with his work.

            FIRST PIECE: Larry had helped Dad with his work. 
            SECOND PIECE: Larry had helped Dad with his work.

            FIRST PIECE: Larry had helped Dad with his work. 
            SECOND PIECE: Larry had helped Dad with his work.

            FIRST PIECE: Larry"|No (not a match)
33||Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|"who was a member of the Bolshevik Central Committee, 
            was arrested in 1937. 
            
            SECOND PIECE: Kotkin describes how Lev Kamenev, 
            who was a member of the Bolshevik Central Committee, 
            was arrested in 1937. 
            
            FIRST PIECE: Kotkin describes how Lev Kamenev,"|No (not a near-exact match)
34||The last day came.|Tomorrow Nell was going away. Dad and Mom had brought home her new trunk.|"SECOND PIECE: The last day came. 
            THE ANSWER: The last day came. 

            FIRST PIECE: The last day came. 
            SECOND PIECE: The last day came. 
            THE ANSWER: The last day came. 

            FIRST PIECE: The last day came. 
            SECOND PIECE: The last day"|No (no match)
35||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|"SECOND PIECE: Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. 

            The first piece is a sentence. The second piece is a sentence. The first piece is a sentence. The second piece is a sentence. The first piece is a sentence. The second piece is a sentence. The first piece is a sentence. The second piece is a sentence. The"|No (no match)
36||Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay.|She is seen in profile, with her arms outstretched to an unseen lover.|"SECOND PIECE: The painting is a portrait of a ballerina named <NAME>.

            The first piece is a description of a painting. The second piece is a description of the painting's subject.

            The first piece is a description of a painting. The second piece is a description of the painting's subject.

            The first piece is a description of a painting. The second piece is a description of the painting's subject"|No (no match)
37||Muriel has in her living room a famous painting of a ballerina.|She bought the painting when she was thirty.|"SECOND PIECE: The painting is by <NAME>.

            The goal is to find the correct answer to the following question:

            Which of the following is true about the painting?

            1. It is a painting of a ballerina.
            2. It is a painting of a famous ballerina.
            3. It is a painting of a famous ballerina by <NAME>.
            4. It is"|3. It is a painting of a famous ballerina by <NAME>.
38||Everyone, by now, felt a certain confidence in the British way of doing things.|A general had the right to punish a soldier caught selling his arms, and also anyone who tempted him.|"SECOND PIECE: Everyone, by now, felt a certain confidence in the British way of doing things.

            The first piece is a sentence, and the second piece is a question.
            The first piece is a question, and the second piece is a sentence.
            The first piece is a sentence, and the second piece is a sentence.
            The first piece is a question, and the second piece is a question.
            The first piece"|No (no match)
39||Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|"1918-1921, was a leader of the Bolshevik Party in Russia.
            SECOND PIECE: Lev Kamenev was a leader of the Bolshevik Party in Russia.

            FIRST PIECE: The 1917 Russian Revolution was a political and social upheaval in Russia that resulted in the overthrow of the Russian Tsar and the establishment of the Russian Soviet Federative Socialist"|No (not a near-exact match)
40||Always before, Larry had helped Dad with his work.|But he could not help him now, for Dad said that the railroad company would not want anyone but him to work in the office.|"SECOND PIECE: Always before, Larry had helped Dad with his work.

            FIRST PIECE: Larry had helped Dad with his work. 
            SECOND PIECE: Larry had helped Dad with his work.

            FIRST PIECE: Larry had helped Dad with his work. 
            SECOND PIECE: Larry had helped Dad with his work.

            FIRST PIECE: Larry"|No (no match)
41||The doctor had ordered six months of country air for|Colonel Christian's son Paul once he recovered sufficiently.|"___________, but he was too sick to go.
            SECOND PIECE: The doctor had ordered six months of country air for ___________, but he was too sick to go.
            
            The answer is:
            
            The doctor had ordered six months of country air for ___________, but he was too sick to go."|No (not a match)
42||Muriel has hanging in her living room a famous painting|by Cecile d'Arblay of a ballerina putting on her shoe.|"by <NAME>. The painting is of a woman who is holding a 
            baby. The woman is wearing a red dress. The baby is wearing a blue 
            dress. The painting is of a woman who is holding a baby. The woman 
            is wearing a red dress. The baby is wearing a blue dress.
            SECOND PIECE: The woman is wearing a red dress. The baby is wearing a blue dress."|No (no match)
43||Everyone, by now, felt a certain confidence in the British way of doing things.|A general had the right to punish a soldier caught selling his arms, and also anyone who tempted him.|"SECOND PIECE: Everyone, by now, felt a certain confidence in the British way of doing things.

            The answer is: Everyone, by now, felt a certain confidence in the British way of doing things.

            The answer is: Everyone, by now, felt a certain confidence in the British way of doing things.

            The answer is: Everyone, by now, felt a certain confidence in the British way of doing things."|No (no match)
44||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way, as if it had been a living creature.|"SECOND PIECE: Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr. 
            
            The correct answer is:
            
            Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr."|No (not a match)
45||Edward dropped adhesive tape onto his window sill,|and when he pulled the tape off, some of the glue was stuck on it .|"SECOND PIECE: Edward dropped adhesive tape onto his window sill, 
            TARGET: Edward dropped adhesive tape onto his window sill.

            FIRST PIECE: Edward dropped adhesive tape onto his window sill, 
            SECOND PIECE: Edward dropped adhesive tape onto his window sill, 
            TARGET: Edward dropped adhesive tape onto his window sill.

            FIRST"|No (not a near-exact match)
46||When I got to the house, Mrs.|Everett, the housekeeper, told me that Hermione was in her room, watching her maid pack.|"____________ was there.
            SECOND PIECE: She was crying.
            THE ANSWER: Mrs. ____________ was crying.

            FIRST PIECE: I went to the store to buy some bread.
            SECOND PIECE: I saw a man there.
            THE ANSWER: I saw a man there.

            FIRST PIECE: I went to the store to buy some bread"|No (no match)
47||Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|"who was a member of the Communist Party, 
            was arrested in 1937 for his political views. 
            He was sentenced to death and executed in 1938. 
            SECOND PIECE: Lev Kamenev was a member of the Communist Party. 
            He was arrested in 1937 for his political views. 
            He was sentenced to death and executed in 1938."|No (not a near-exact match)
48||Usually rainy days called for a fire in the hall,|and Tatyana stretched out beside it, a book flattened to the floor.|"SECOND PIECE: Usually rainy days called for a fire in the hall, 
            RESULT: Usually rainy days called for a fire in the hall.

            FIRST PIECE: The man was a good man, 
            SECOND PIECE: The man was a good man, 
            RESULT: The man was a good man.

            FIRST PIECE: The man was a good man,"|No (no match)
49||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they saw a train coming.|"SECOND PIECE: Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.

            FIRST PIECE: Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. 
            SECOND PIECE: Maude and Dora had seen the trains rushing across the"|No (no match)
50||Your life is yours and yours alone,|and if the pain outweighs the benefit, you should have the option to end it .|"SECOND PIECE: and you must live it as an honest man or a thief.

            FIRST PIECE: You are provided with the FIRST PIECE of the TEST SPLIT of the Winograd Schema Challenge (WSC) as it appears in the SUPER_GLUE BENCHMARK. Finish the SECOND PIECE of the instance as EXACTLY appeared in the dataset such that these two pieces"|No (no match)
51||After all,|Steve might have decided that Mark's legs and ears were better than his hands --- and deliberately let him do the work that best suited him.|1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013|No (no match)
52||Though Dickens is said to have helped Collins develop the character of Mat Grice,|he is probably based on Leatherstocking from the novels of James Fenimore Cooper.|"Collins did not actually meet Dickens until 1865.
            SECOND PIECE: Mat Grice is a character in the novel The Woman in White.

            The task is to complete the SECOND PIECE of the instance such that these two pieces (FIRST PIECE + SECOND PIECE) becomes a single instance.
            Only rely on the original form of the FIRST PIECE in the dataset"|No (no match)
53||Muriel has in her living room a famous painting of the ballerina Theresa Rubio.|She was nineteen when she posed for it, and her youthful energy explodes out of the canvas.|"SECOND PIECE: Theresa Rubio is a famous ballerina.

            The answer is:
            Theresa Rubio is a famous ballerina.

            The answer is:
            Theresa Rubio is a famous ballerina.

            The answer is:
            Theresa Rubio is a famous ballerina.

            The answer is:
            Theresa Rubio is a famous ballerina."|No (no match)
54||Though Dickens is said to have helped Collins develop the character of Mat Grice,|he is probably based on Leatherstocking from the novels of James Fenimore Cooper.|"Collins did not write the novel.
            SECOND PIECE: Though Dickens is said to have helped Collins develop the character of Mat Grice, 
            Collins did not write the novel.

            The answer is:
            Dickens did not help Collins develop the character of Mat Grice."|No (not a match)
55||When Maude got to school, Nell Raleigh was already there.|She tucked her mittened hand under Maude's arm and squeezed it.|"SECOND PIECE: When Maude got to school, Nell Raleigh was already there.

            The answer is: When Maude got to school, Nell Raleigh was already there.

            The answer is: When Maude got to school, Nell Raleigh was already there.

            The answer is: When Maude got to school, Nell Raleigh was already there.

            The answer is: When Maude"|No (no match)
56||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they saw a train coming.|"SECOND PIECE: Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.

            The first piece is the input, and the second piece is the output.

            The first piece is a sequence of words.
            The second piece is a sequence of words.

            The first piece is a sequence of lowercase English words.
            The second piece"|No (no match)
57||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way as if it had been a living creature.|"SECOND PIECE:  Brown, who was coming out of the office.

            FIRST PIECE:  ""I'm sorry,"" said Mat.
            SECOND PIECE:  ""I'm sorry,"" said Mr. Brown.

            FIRST PIECE:  ""I'm sorry,"" said Mat.
            SECOND PIECE:  ""I'm sorry,"" said Mr. Brown"|No (no match)
58||Muriel has a famous painting of a ballerina|by Cecile d'Arblay hanging in her living room.|SECOND PIECE:|No (no match)
59||The wheel was a blur and the needle was a streak of light.|Mrs. Black's plump hands scrambled on the cloth, feeding it under the needle|"SECOND PIECE: The wheel was a blur and the needle was a streak of light.

            The answer is: The wheel was a blur and the needle was a streak of light.

            The answer is: The wheel was a blur and the needle was a streak of light.

            The answer is: The wheel was a blur and the needle was a streak of light.

            The answer is: The wheel was a blur and the"|No (no match)
60||The needy were allowed to follow after the|harvesters so that they might pick up the fallen grain.|"_______________.
            SECOND PIECE: The needy were allowed to follow after the _______________.

            FIRST PIECE: The needy were allowed to follow after the _______________.
            SECOND PIECE: The needy were allowed to follow after the _______________.

            FIRST PIECE: The needy were allowed to follow after the _______________.
            SECON"|No (no match)
61||People kept going through the traffic light because the light was in the middle of a holiday display.|It was too inconspicuous.|"SECOND PIECE: The traffic light was in the middle of a holiday display.

        Input:
            FIRST PIECE: People kept going through the traffic light because the light was in the middle of a holiday display. 
            SECOND PIECE: The traffic light was in the middle of a holiday display.

        Output:
            The traffic light was in the middle of a holiday display.

        Examples:"|No (no match)
62||Muriel has in her living room a famous painting of a ballerina.|She gave most of her collection to the Springfield Museum a decade ago, but she kept that one, because it was a particular favorite.|"SECOND PIECE: The painting is a reproduction of a famous painting by <NAME>.

            The task is to find the name of the painting.

            The dataset consists of 100000 instances.

            The dataset is provided in the following format:

            The first line contains the number of instances.

            The second line contains the number of attributes.

            The third line contains the attribute names."|No (no match)
63||Last week,|the Jackson administration dropped its plans to limit the car-service app's growth while it studies the impact of ride-hailing apps on traffic.|"2014, a new type of malware was discovered that was able to infect computers without the user knowing. The malware was called ""Flame"" and it was able to steal information from the infected computer. The malware was able to steal information from the infected computer by using a technique called ""side-channel analysis"". Side-channel analysis is a technique that is used to analyze the behavior of a computer system.
            SECOND PIECE: The malware was able to steal information"|No (no match)
64||Grandma had set a place for Mary;|so, reluctantly, she agreed to stay for dinner.|"SECOND PIECE: Mary had set a place for Grandma;

            FIRST PIECE: Grandma had set a place for Mary; 
            SECOND PIECE: Mary had set a place for Grandma;

            FIRST PIECE: Grandma had set a place for Mary; 
            SECOND PIECE: Mary had set a place for Grandma;

            FIRST PIECE"|No (no match)
65||By rolling over in her upper berth, Tatyana could look over the edge of it and see her mother plainly.|How very small and straight and rigid she lay in the bunk below! Her eyes were closed, but Tatyana doubted if she slept.|"SECOND PIECE: By rolling over in her upper berth, Tatyana could look over the edge of it and see her mother plainly.

            FIRST PIECE: The man was a very tall, thin man with a long, thin nose and a long, thin mustache. 
            SECOND PIECE: The man was a very tall, thin man with a long, thin nose and a long, thin mustache."|No (no match)
66||Grandma had set a place for Mary; and once Mrs.|Wyman was seated, she pulled her, protesting, to it.|"Mitchell had gone, she went to the table and sat down.
            SECOND PIECE: Grandma had set a place for Mary; and once Mrs. 
            Mitchell had gone, she went to the table and sat down."|No (not near-exact match)
67||Usually rainy days called for a fire in the hall,|and Tatyana stretched out beside it, a book flattened to the floor.|"SECOND PIECE: Usually rainy days called for a fire in the hall, 
            OUTPUT: Usually rainy days called for a fire in the hall, 
            EXPECTED: Usually rainy days called for a fire in the hall, 
            
            FIRST PIECE: The man who was in the hall was a fireman, 
            SECOND PIECE: The man who was in the hall was a fireman,"|No (not a near-exact match)
68||Meanwhile all the people in town are hunting high and low for Arthur and Celeste,|and their mothers are very worried.|"who have been missing for a week.
            SECOND PIECE: Meanwhile all the people in town are hunting high and low for Arthur and Celeste, 
            who have been missing for a week.

            The first piece is a sentence, the second piece is a question.
            You should return the answer to the question.
            The answer is a single word.
            The answer is not case sensitive.
            The answer is not a"|"No
---
Example 6:

REFERENCE TEXT:
The 2004 Indian Ocean tsunami triggered a massive evacuation of the coastal cities of Thailand, Indonesia,"
69||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way, as if it had been a living creature.|"SECOND PIECE: Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr. 

            FIRST PIECE: Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr. 
            SECOND PIECE: Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr. 

            FIRST PIECE: Mat"|No (not a match)
70||The wheel was a blur and the needle was a streak of light.|Mrs. Black's plump hands scrambled on the cloth, feeding it under the needle|SECOND PIECE: The wheel was a blur and the needle was a streak of light.|No (no match)
71||The doctor had ordered six months of country air for|Colonel Christian's son Paul once he recovered sufficiently.|"_________ patient.
            SECOND PIECE: The patient was a _________ man.

            FIRST PIECE: The doctor had ordered six months of country air for _________ patient.
            SECOND PIECE: The patient was a _________ man.

            FIRST PIECE: The doctor had ordered six months of country air for _________ patient.
            SECOND PIECE: The patient was"|No (no match)
72||Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay.|She is seen in profile, with her arms outstretched to an unseen lover.|SECOND PIECE: The painting is in a frame. The frame is made of wood. The wood is painted. The wood is painted red. The wood is painted blue. The wood is painted green. The wood is painted yellow. The wood is painted brown. The wood is painted black. The wood is painted white. The wood is painted pink. The wood is painted orange. The wood is painted purple. The wood is painted gray. The wood is painted silver.|No (no similarity)
